account,account_name,account_type,statement,normal_balance,evidence_class
1000,Cash,Asset,Balance Sheet,debit,SIMULATED
1100,Trade Receivables,Asset,Balance Sheet,debit,SIMULATED
1200,Inventory,Asset,Balance Sheet,debit,SIMULATED
1500,Net PP&E,Asset,Balance Sheet,debit,SIMULATED
2000,Trade Payables,Liability,Balance Sheet,credit,SIMULATED
2500,Debt,Liability,Balance Sheet,credit,SIMULATED
3000,Opening Retained Earnings,Equity,Balance Sheet,credit,SIMULATED
4000,Gross Sales,Revenue,Income Statement,credit,SIMULATED
4010,Invoice Discounts,Contra Revenue,Income Statement,debit,SIMULATED
4020,Returns,Contra Revenue,Income Statement,debit,SIMULATED
4030,Rebates,Contra Revenue,Income Statement,debit,SIMULATED
4040,Voucher Support,Contra Revenue,Income Statement,debit,SIMULATED
5000,COGS,Expense,Income Statement,debit,SIMULATED
5100,Channel Fees,Expense,Income Statement,debit,SIMULATED
5200,Trade Spend,Expense,Income Statement,debit,SIMULATED
5300,Variable Fulfilment,Expense,Income Statement,debit,SIMULATED
6000,Controllable OPEX,Expense,Income Statement,debit,SIMULATED
6100,Depreciation,Expense,Income Statement,debit,SIMULATED
6200,Finance Cost,Expense,Income Statement,debit,SIMULATED
6300,Tax Proxy,Expense,Income Statement,debit,SIMULATED
