LineID,OrderID,Date,MonthStart,SKUKey,CustomerKey,ChannelKey,CompanyKey,Region,UnitsCorrected,UnitPriceVND,GrossSalesVND,DiscountVND,ReturnsVND,RebatesVND,VoucherSupportVND,NetRevenueVND,PreliminaryCOGSVND,COGSScaleFactor,CorrectedCOGSVND,AllocatedChannelFeeVND,AllocatedTradeSpendVND,AllocatedVariableFulfilmentVND,ContributionProfitVND,AllocationMethod,AllocationDriver,SourceCostBucket,EvidenceClass,IsIntercompany,IsStockout
VN000000001,ORD00000001,2023-01-01,2023-01-01,SKU001,CUS01,CH01,VN,North,6000,31000,186000000.0,7440000.0,1116000.0,0,0,177444000.0,74400000.0,1.39568,103838583.13,6450710.38,4607650.27,2129328.0,60417728.22,NET_REVENUE_SHARE,row_net_revenue / month_channel_net_revenue,COMMERCIAL_COSTS,DERIVED,false,false
VN000000002,ORD00000002,2023-01-01,2023-01-01,SKU002,CUS02,CH01,VN,South,5000,36000,180000000.0,7200000.0,1080000.0,0,0,171720000.0,64800000.0,1.39568,90440056.28,6242622.95,4459016.39,2060640.0,68517664.38,NET_REVENUE_SHARE,row_net_revenue / month_channel_net_revenue,COMMERCIAL_COSTS,DERIVED,false,false
VN000000003,ORD00000003,2023-01-01,2023-01-01,SKU003,CUS03,CH01,VN,Central,4000,32000,128000000.0,5120000.0,768000.0,0,0,122112000.0,48640000.0,1.39568,67885869.4,4439198.54,3170856.1,1465344.0,45150731.96,NET_REVENUE_SHARE,row_net_revenue / month_channel_net_revenue,COMMERCIAL_COSTS,DERIVED,false,false
VN000000004,ORD00000004,2023-01-01,2023-01-01,SKU004,CUS04,CH01,VN,North,6000,28000,168000000.0,6720000.0,1008000.0,0,0,160272000.0,73920000.0,1.39568,103168656.79,5826448.09,4161748.63,1923264.0,45191882.49,NET_REVENUE_SHARE,row_net_revenue / month_channel_net_revenue,COMMERCIAL_COSTS,DERIVED,false,false
VN000000005,ORD00000005,2023-01-01,2023-01-01,SKU005,CUS05,CH01,VN,South,5000,27000,135000000.0,5400000.0,810000.0,0,0,128790000.0,62100000.0,1.39568,86671720.6,4681967.21,3344262.3,1545480.0,32546569.89,NET_REVENUE_SHARE,row_net_revenue / month_channel_net_revenue,COMMERCIAL_COSTS,DERIVED,false,false
VN000000006,ORD00000006,2023-01-01,2023-01-01,SKU006,CUS06,CH01,VN,Central,4000,30000,120000000.0,4800000.0,720000.0,0,0,114480000.0,50400000.0,1.39568,70342265.99,4161748.63,2972677.6,1373760.0,35629547.78,NET_REVENUE_SHARE,row_net_revenue / month_channel_net_revenue,COMMERCIAL_COSTS,DERIVED,false,false
VN000000007,ORD00000007,2023-01-01,2023-01-01,SKU007,CUS07,CH01,VN,North,6000,23000,138000000.0,5520000.0,828000.0,0,0,131652000.0,75900000.0,1.39568,105932102.95,4786010.93,3418579.23,1579824.0,15935482.89,NET_REVENUE_SHARE,row_net_revenue / month_channel_net_revenue,COMMERCIAL_COSTS,DERIVED,false,false
VN000000008,ORD00000008,2023-01-01,2023-01-01,SKU008,CUS08,CH01,VN,South,5000,25000,125000000.0,5000000.0,750000.0,0,0,119250000.0,65000000.0,1.39568,90719192.25,4335154.83,3096539.16,1431000.0,19668113.76,NET_REVENUE_SHARE,row_net_revenue / month_channel_net_revenue,COMMERCIAL_COSTS,DERIVED,false,false
VN000000009,ORD00000009,2023-01-01,2023-01-01,SKU009,CUS09,CH01,VN,Central,6000,21000,126000000.0,5040000.0,756000.0,0,0,120204000.0,73080000.0,1.39568,101996285.69,4369836.07,3121311.48,1442448.0,9274118.76,NET_REVENUE_SHARE,row_net_revenue / month_channel_net_revenue,COMMERCIAL_COSTS,DERIVED,false,false
VN000000010,ORD00000010,2023-01-01,2023-01-01,SKU010,CUS10,CH01,VN,North,5000,24000,120000000.0,4800000.0,720000.0,0,0,114480000.0,60000000.0,1.39568,83740792.85,4161748.63,2972677.6,1373760.0,22231020.92,NET_REVENUE_SHARE,row_net_revenue / month_channel_net_revenue,COMMERCIAL_COSTS,DERIVED,false,false
