period,sku,category,units,standard_unit_cost_vnd,actual_unit_cogs_vnd,standard_cogs_vnd,actual_cogs_vnd,material_price_variance_vnd,usage_yield_variance_vnd,conversion_variance_vnd,total_cogs_variance_vnd,evidence_class,allocation_note
2023-01,SKU001,Dairy,692,7740,7740,5356080,5356080,0,17567.94,-17567.94,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU002,Beverages,812,9782,9782,7942984,7942984,0,26052.99,-26052.99,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU003,Condiments,725,12000,12000,8700000,8700000,0,28536,-28536,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU004,Convenience Foods,741,14392,14392,10664472,10664472,0,34979.47,-34979.47,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU005,Dairy,795,16960,16960,13483200,13483200,0,44224.9,-44224.9,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU006,Beverages,893,15265,15265,13631645,13631645,0,44711.8,-44711.8,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU007,Condiments,856,17745,17745,15189720,15189720,0,49822.28,-49822.28,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU008,Convenience Foods,921,20400,20400,18788400,18788400,0,61625.95,-61625.95,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU009,Dairy,949,23230,23230,22045270,22045270,0,72308.49,-72308.49,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU010,Beverages,981,9540,9540,9358740,9358740,0,30696.67,-30696.67,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU011,Condiments,1010,9245,9245,9337450,9337450,0,30626.84,-30626.84,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
