customer_id,customer_name,channel,region,payment_terms_days,gross_sales_vnd_mn,discounts_vnd_mn,rebates_vnd_mn,returns_vnd_mn,net_sales_vnd_mn,cogs_vnd_mn,delivery_vnd_mn,customer_support_vnd_mn,contribution_vnd_mn,contribution_margin_pct,ar_balance_vnd_mn,dso_days,working_capital_cost_vnd_mn,contribution_after_wc_cost_vnd_mn,strategic_flag
C01,Customer 01,General Trade,North,45,6450,258,194,77,5921,3257,161,77,2426,40.97,730,45,73,2353,N
C02,Customer 02,Modern Trade,Central,75,6900,483,552,83,5782,3354,173,83,2172,37.56,1188,74.99,119,2053,N
C03,Customer 03,Marketplace,South,30,7350,368,221,184,6577,3617,257,88,2615,39.76,541,30.02,54,2561,N
C04,Customer 04,D2C,North,7,7800,234,234,94,7238,3474,156,94,3514,48.55,139,7.01,14,3500,Y
C05,Customer 05,Wholesale,Central,60,8250,330,413,99,7408,4074,206,99,3029,40.89,1218,60.01,122,2907,N
C06,MT National Account,Modern Trade,South,90,18000,1800,1600,200,14400,10900,1100,300,2100,14.58,3500,88.72,350,1750,Y
C07,Customer 07,Modern Trade,North,75,9150,641,732,110,7667,4447,229,110,2881,37.58,1575,74.98,158,2723,N
C08,Customer 08,Marketplace,Central,30,9600,480,288,240,8592,4726,336,115,3415,39.75,706,29.99,71,3344,Y
C09,Customer 09,D2C,South,7,10050,302,302,121,9325,4476,201,121,4527,48.55,179,7.01,18,4509,N
C10,Customer 10,Wholesale,North,60,10500,420,525,126,9429,5186,263,126,3854,40.87,1550,60,155,3699,N
C11,Customer 11,General Trade,Central,45,10950,438,329,131,10052,5529,274,131,4118,40.97,1239,44.99,124,3994,N
C12,Customer 12,Modern Trade,South,75,11400,798,912,137,9553,5541,285,137,3590,37.58,1963,75,196,3394,Y
C13,Customer 13,Marketplace,North,30,11850,593,356,296,10605,5833,415,142,4215,39.75,872,30.01,87,4128,N
C14,Customer 14,D2C,Central,7,12300,369,369,148,11414,5479,246,148,5541,48.55,219,7,22,5519,N
C15,Customer 15,Wholesale,South,60,12750,510,638,153,11449,6297,319,153,4680,40.88,1882,60,188,4492,N
C16,Customer 16,General Trade,North,45,13200,528,396,158,12118,6665,330,158,4965,40.97,1494,45,149,4816,Y
C17,Customer 17,Modern Trade,Central,75,13650,956,1092,164,11438,6634,341,164,4299,37.59,2350,74.99,235,4064,N
C18,Customer 18,Marketplace,South,30,14100,705,423,353,12619,6940,494,169,5016,39.75,1037,29.99,104,4912,N
C19,Customer 19,D2C,North,7,14550,437,437,175,13501,6480,291,175,6555,48.55,259,7,26,6529,N
C20,Customer 20,Wholesale,Central,60,15000,600,750,180,13470,7409,375,180,5506,40.88,2214,59.99,221,5285,Y
C21,Customer 21,General Trade,South,45,15450,618,464,185,14183,7801,386,185,5811,40.97,1749,45.01,175,5636,N
C22,Customer 22,Modern Trade,North,75,15900,1113,1272,191,13324,7728,398,191,5007,37.58,2738,75.01,274,4733,N
C23,Customer 23,Marketplace,Central,30,16350,818,491,409,14632,8048,572,196,5816,39.75,1203,30.01,120,5696,N
C24,Customer 24,D2C,South,7,16800,504,504,202,15590,7483,336,202,7569,48.55,299,7,30,7539,Y
