MonthStart,SKUKey,ChannelKey,ScenarioKey,ForecastVersionKey,BudgetUnits,BudgetRevenueVND,BudgetCOGSVND,BudgetTradeSpendVND,BudgetOPEXVND,EvidenceClass
2023-01-01,SKU001,CH01,BUDGET,FY_BASE,6300,186316200.0,109030512.29,4838032.78,0,SIMULATED
2023-01-01,SKU002,CH01,BUDGET,FY_BASE,5250,180306000.0,94962059.09,4681967.21,0,SIMULATED
2023-01-01,SKU003,CH01,BUDGET,FY_BASE,4200,128217600.0,71280162.87,3329398.91,0,SIMULATED
2023-01-01,SKU004,CH01,BUDGET,FY_BASE,6300,168285600.0,108327089.63,4369836.06,0,SIMULATED
2023-01-01,SKU005,CH01,BUDGET,FY_BASE,5250,135229500.0,91005306.63,3511475.42,0,SIMULATED
2023-01-01,SKU006,CH01,BUDGET,FY_BASE,4200,120204000.0,73859379.29,3121311.48,0,SIMULATED
2023-01-01,SKU007,CH01,BUDGET,FY_BASE,6300,138234600.0,111228708.1,3589508.19,0,SIMULATED
2023-01-01,SKU008,CH01,BUDGET,FY_BASE,5250,125212500.0,95255151.86,3251366.12,0,SIMULATED
2023-01-01,SKU009,CH01,BUDGET,FY_BASE,6300,126214200.0,107096099.97,3277377.05,0,SIMULATED
2023-01-01,SKU010,CH01,BUDGET,FY_BASE,5250,120204000.0,87927832.49,3121311.48,0,SIMULATED
2023-01-01,SKU011,CH01,BUDGET,FY_BASE,3150,105178500.0,46162112.06,2731147.55,0,SIMULATED
2023-01-01,SKU012,CH01,BUDGET,FY_BASE,4200,116197200.0,66297585.71,3017267.76,0,SIMULATED
2023-01-01,SKU001,CH02,BUDGET,FY_BASE,5250,155263500.0,91055271.15,6050840.58,0,SIMULATED
2023-01-01,SKU002,CH02,BUDGET,FY_BASE,3150,108183600.0,57100466.81,4216069.57,0,SIMULATED
2023-01-01,SKU003,CH02,BUDGET,FY_BASE,3150,96163200.0,53575746.64,3747617.39,0,SIMULATED
2023-01-01,SKU004,CH02,BUDGET,FY_BASE,4200,112190400.0,72374254.23,4372220.29,0,SIMULATED
2023-01-01,SKU005,CH02,BUDGET,FY_BASE,4200,108183600.0,72961707.59,4216069.57,0,SIMULATED
