CompanyKey,Ticker,FiscalYear,OperatingCashFlowVNDBn,PATVNDBn,EvidenceClass,SourceDocument
VNM,VNM,2016,8389.781306333,9363.82977749,OBSERVED,VNM_Annual_Report_2016.pdf
VNM,VNM,2017,9601.594525092,10278.174553166,OBSERVED,VNM_Annual_Report_2017.pdf
VNM,VNM,2018,8140.239032649,10205.629711239,OBSERVED,VNM_Annual_Report_2018.pdf
VNM,VNM,2019,11968.576,10554.331880891,OBSERVED,VNM_Annual_Report_2019.pdf
VNM,VNM,2020,10180.169388228,11235.732234125,OBSERVED,VNM_Annual_Report_2020.pdf
VNM,VNM,2021,,10633,OBSERVED,VNM_Annual_Report_2025.pdf
VNM,VNM,2022,,8578,OBSERVED,VNM_Annual_Report_2025.pdf
VNM,VNM,2023,,9019,OBSERVED,VNM_Annual_Report_2025.pdf
VNM,VNM,2024,,9453,OBSERVED,VNM_Annual_Report_2025.pdf
VNM,VNM,2025,,9414,OBSERVED,VNM_Annual_Report_2025.pdf
QNS,QNS,2016,1160.171893883,1409.876421116,OBSERVED,QNS_Annual_Report_2017.pdf
QNS,QNS,2017,1621.651629778,1026.798712722,OBSERVED,QNS_Annual_Report_2017.pdf
QNS,QNS,2018,1540.307146264,1240.351197619,OBSERVED,QNS_Audited_Consolidated_FS_2018.pdf
QNS,QNS,2019,1644.928930433,1291.776601066,OBSERVED,QNS_Audited_Consolidated_FS_2020.pdf
QNS,QNS,2020,76.961987689,1052.977956157,OBSERVED,QNS_Audited_Consolidated_FS_2020.pdf
QNS,QNS,2021,,1254,OBSERVED,QNS_Annual_Report_2025.pdf
QNS,QNS,2022,,1287,OBSERVED,QNS_Annual_Report_2025.pdf
QNS,QNS,2023,,2183,OBSERVED,QNS_Annual_Report_2025.pdf
QNS,QNS,2024,,2377,OBSERVED,QNS_Annual_Report_2025.pdf
QNS,QNS,2025,,1916,OBSERVED,QNS_Annual_Report_2025.pdf
KDC,KDC,2016,-130.755977353,1183.883432133,OBSERVED,KDC_Annual_Report_2016.pdf
KDC,KDC,2017,-69.273641662,440.105430851,OBSERVED,KDC_Annual_Report_2017.pdf
KDC,KDC,2018,-86.392554684,147.630510681,OBSERVED,KDC_Annual_Report_2018.pdf
KDC,KDC,2019,299.408365381,207.258286486,OBSERVED,KDC_Annual_Report_2019.pdf
KDC,KDC,2020,97.021977636,330.237706749,OBSERVED,KDC_Annual_Report_2020.pdf
KDC,KDC,2021,,,OBSERVED,KDC_Annual_Report_2025.pdf
KDC,KDC,2022,,,OBSERVED,KDC_Annual_Report_2025.pdf
KDC,KDC,2023,,,OBSERVED,KDC_Annual_Report_2025.pdf
KDC,KDC,2024,,,OBSERVED,KDC_Annual_Report_2025.pdf
KDC,KDC,2025,,587,OBSERVED,KDC_Annual_Report_2025.pdf
