period,evidence_class,source_ledger,cash_opening_vnd,cash_closing_vnd,ar_closing_vnd,inventory_closing_vnd,ppe_net_closing_vnd,ap_closing_vnd,debt_closing_vnd,equity_opening_vnd,equity_closing_vnd,total_assets_vnd,total_liabilities_equity_vnd,balance_check_vnd
2023-01,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),5000000000,4483219916,138696610,1522192232,0,106361969,6950000000,-348542000,-912253211,6144108758,6144108758,0
2023-02,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),4483219916,4001004409,290725031,1315622293,0,217138689,6900000000,-912253211,-1509786956,5607351733,5607351733,0
2023-03,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),4001004409,3482414727,451043803,1055735524,0,304462441,6850000000,-1509786956,-2165268387,4989194054,4989194054,0
2023-04,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),3482414727,2940052126,613087712,794129843,0,420815018,6800000000,-2165268387,-2873545337,4347269681,4347269681,0
2023-05,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),2940052126,2416770319,755351700,644576507,0,528325519,6750000000,-2873545337,-3461626993,3816698526,3816698526,0
2023-06,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),2416770319,1807587545,902744462,540237567,0,636552765,6700000000,-3461626993,-4085983191,3250569574,3250569574,0
2023-07,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),1807587545,1129498373,1057177775,457533792,0,748337833,6650000000,-4085983191,-4754127893,2644209940,2644209940,0
2023-08,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),1129498373,343873681,1211435764,381987127,0,855761822,6600000000,-4754127893,-5518465250,1937296572,1937296572,0
2023-09,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),343873681,-291100485,1371093506,322223138,0,961346625,6550000000,-5518465250,-6109130466,1402216159,1402216159,0
2023-10,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-291100485,-1036406762,1506128209,289827658,0,1058691023,6500000000,-6109130466,-6799141918,759549105,759549105,0
2023-11,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-1036406762,-1826207214,1673851355,257041042,0,1153870556,6450000000,-6799141918,-7499185373,104685183,104685183,0
2023-12,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-1826207214,-2688150092,1847109835,232254329,0,1259575243,6400000000,-7499185373,-8268361171,-608785928,-608785928,0
2024-01,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-2688150092,-3396612739,1993782207,221738711,0,1374052702,6350000000,-8268361171,-8905144523,-1181091821,-1181091821,0
2024-02,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-3396612739,-4141958976,2155087875,222595121,0,1492470153,6300000000,-8905144523,-9556746133,-1764275980,-1764275980,0
2024-03,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-4141958976,-4961916456,2308286542,213834521,0,1593728186,6250000000,-9556746133,-10283523579,-2439795393,-2439795393,0
