snapshot_id,forecast_version,target_period,metric_id,horizon_months,forecast_created_at,forecast_cutoff_at,actual_period_close_date,actual_available_at,as_of_date,forecast_value_vnd,actual_value_vnd,error_vnd,abs_error_vnd,snapshot_status,evidence_class,source_model_version,approver
BUDGET-2025-01-REVENUE,BUDGET,2025-01,REVENUE,6,2024-07-05,2024-07-31,2025-01-31,2025-02-15,2026-01-31,1079699142.24,999721428,79977714.24,79977714.24,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-01-GROSS_PROFIT,BUDGET,2025-01,GROSS_PROFIT,6,2024-07-05,2024-07-31,2025-01-31,2025-02-15,2026-01-31,516223523.52,477984744,38238779.52,38238779.52,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-01-EBITDA_PROXY,BUDGET,2025-01,EBITDA_PROXY,6,2024-07-05,2024-07-31,2025-01-31,2025-02-15,2026-01-31,-762432868.58,-705956359.8,-56476508.78,56476508.78,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-01-CFO,BUDGET,2025-01,CFO,6,2024-07-05,2024-07-31,2025-01-31,2025-02-15,2026-01-31,-797566810.14,-866920445.8,69353635.66,69353635.66,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-01-WORKING_CAPITAL,BUDGET,2025-01,WORKING_CAPITAL,6,2024-07-05,2024-07-31,2025-01-31,2025-02-15,2026-01-31,1603685085.96,1743135963,-139450877.04,139450877.04,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-01-REVENUE,RF1,2025-01,REVENUE,3,2024-10-05,2024-10-31,2025-01-31,2025-02-15,2026-01-31,1049707499.4,999721428,49986071.4,49986071.4,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-01-GROSS_PROFIT,RF1,2025-01,GROSS_PROFIT,3,2024-10-05,2024-10-31,2025-01-31,2025-02-15,2026-01-31,501883981.2,477984744,23899237.2,23899237.2,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-01-EBITDA_PROXY,RF1,2025-01,EBITDA_PROXY,3,2024-10-05,2024-10-31,2025-01-31,2025-02-15,2026-01-31,-741254177.79,-705956359.8,-35297817.99,35297817.99,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-01-CFO,RF1,2025-01,CFO,3,2024-10-05,2024-10-31,2025-01-31,2025-02-15,2026-01-31,-823574423.51,-866920445.8,43346022.29,43346022.29,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-01-WORKING_CAPITAL,RF1,2025-01,WORKING_CAPITAL,3,2024-10-05,2024-10-31,2025-01-31,2025-02-15,2026-01-31,1655979164.85,1743135963,-87156798.15,87156798.15,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF2-2025-01-REVENUE,RF2,2025-01,REVENUE,2,2024-11-05,2024-11-30,2025-01-31,2025-02-15,2026-01-31,1029713070.84,999721428,29991642.84,29991642.84,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-01-GROSS_PROFIT,RF2,2025-01,GROSS_PROFIT,2,2024-11-05,2024-11-30,2025-01-31,2025-02-15,2026-01-31,492324286.32,477984744,14339542.32,14339542.32,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-01-EBITDA_PROXY,RF2,2025-01,EBITDA_PROXY,2,2024-11-05,2024-11-30,2025-01-31,2025-02-15,2026-01-31,-727135050.59,-705956359.8,-21178690.79,21178690.79,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-01-CFO,RF2,2025-01,CFO,2,2024-11-05,2024-11-30,2025-01-31,2025-02-15,2026-01-31,-840912832.43,-866920445.8,26007613.37,26007613.37,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-01-WORKING_CAPITAL,RF2,2025-01,WORKING_CAPITAL,2,2024-11-05,2024-11-30,2025-01-31,2025-02-15,2026-01-31,1690841884.11,1743135963,-52294078.89,52294078.89,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF3-2025-01-REVENUE,RF3,2025-01,REVENUE,1,2024-12-05,2024-12-31,2025-01-31,2025-02-15,2026-01-31,1014717249.42,999721428,14995821.42,14995821.42,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-01-GROSS_PROFIT,RF3,2025-01,GROSS_PROFIT,1,2024-12-05,2024-12-31,2025-01-31,2025-02-15,2026-01-31,485154515.16,477984744,7169771.16,7169771.16,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-01-EBITDA_PROXY,RF3,2025-01,EBITDA_PROXY,1,2024-12-05,2024-12-31,2025-01-31,2025-02-15,2026-01-31,-716545705.2,-705956359.8,-10589345.4,10589345.4,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-01-CFO,RF3,2025-01,CFO,1,2024-12-05,2024-12-31,2025-01-31,2025-02-15,2026-01-31,-853916639.11,-866920445.8,13003806.69,13003806.69,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-01-WORKING_CAPITAL,RF3,2025-01,WORKING_CAPITAL,1,2024-12-05,2024-12-31,2025-01-31,2025-02-15,2026-01-31,1716988923.56,1743135963,-26147039.44,26147039.44,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
LATEST_ESTIMATE-2025-01-REVENUE,LATEST_ESTIMATE,2025-01,REVENUE,1,2024-12-05,2024-12-31,2025-01-31,2025-02-15,2026-01-31,1009718642.28,999721428,9997214.28,9997214.28,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-01-GROSS_PROFIT,LATEST_ESTIMATE,2025-01,GROSS_PROFIT,1,2024-12-05,2024-12-31,2025-01-31,2025-02-15,2026-01-31,482764591.44,477984744,4779847.44,4779847.44,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-01-EBITDA_PROXY,LATEST_ESTIMATE,2025-01,EBITDA_PROXY,1,2024-12-05,2024-12-31,2025-01-31,2025-02-15,2026-01-31,-713015923.4,-705956359.8,-7059563.6,7059563.6,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
