forecast_version,forecast_created_date,target_month,company,brand,channel,forecast_revenue_vnd,actual_revenue_vnd,actual_available_date
FE-2025-01,2024-12-20,2025-01,VietNova Consumer JSC,NovaDaily,Modern Trade,1050,1000,2025-02-15
FE-2025-01,2024-12-20,2025-02,VietNova Consumer JSC,NovaDaily,Modern Trade,1102.5,1050,2025-03-15
FE-2025-01,2024-12-20,2025-03,VietNova Consumer JSC,NovaDaily,Modern Trade,1155,1100,2025-04-15
FE-2025-01,2024-12-20,2025-04,VietNova Consumer JSC,NovaDaily,Modern Trade,1207.5,1150,2025-05-15
FE-2025-01,2024-12-20,2025-05,VietNova Consumer JSC,NovaDaily,Modern Trade,1260,1200,2025-06-15
FE-2025-01,2024-12-20,2025-06,VietNova Consumer JSC,NovaDaily,Modern Trade,1312.5,1250,2025-07-15
FE-2025-01,2024-12-20,2025-07,VietNova Consumer JSC,NovaDaily,Modern Trade,1365,1300,2025-08-15
FE-2025-01,2024-12-20,2025-08,VietNova Consumer JSC,NovaDaily,Modern Trade,1417.5,1350,2025-09-15
FE-2025-01,2024-12-20,2025-09,VietNova Consumer JSC,NovaDaily,Modern Trade,1470,1400,2025-10-15
FE-2025-01,2024-12-20,2025-10,VietNova Consumer JSC,NovaDaily,Modern Trade,1522.5,1450,2025-11-15
FE-2025-01,2024-12-20,2025-11,VietNova Consumer JSC,NovaDaily,Modern Trade,1575,1500,2025-12-15
FE-2025-01,2024-12-20,2025-12,VietNova Consumer JSC,NovaDaily,Modern Trade,1627.5,1550,2025-12-20
FE-2025-04,2025-03-20,2025-04,VietNova Consumer JSC,NovaDaily,Modern Trade,1127,1150,2025-05-15
FE-2025-04,2025-03-20,2025-05,VietNova Consumer JSC,NovaDaily,Modern Trade,1176,1200,2025-06-15
FE-2025-04,2025-03-20,2025-06,VietNova Consumer JSC,NovaDaily,Modern Trade,1225,1250,2025-07-15
FE-2025-04,2025-03-20,2025-07,VietNova Consumer JSC,NovaDaily,Modern Trade,1274,1300,2025-08-15
FE-2025-04,2025-03-20,2025-08,VietNova Consumer JSC,NovaDaily,Modern Trade,1323,1350,2025-09-15
FE-2025-04,2025-03-20,2025-09,VietNova Consumer JSC,NovaDaily,Modern Trade,1372,1400,2025-10-15
FE-2025-04,2025-03-20,2025-10,VietNova Consumer JSC,NovaDaily,Modern Trade,1421,1450,2025-11-15
FE-2025-04,2025-03-20,2025-11,VietNova Consumer JSC,NovaDaily,Modern Trade,1470,1500,2025-12-15
FE-2025-04,2025-03-20,2025-12,VietNova Consumer JSC,NovaDaily,Modern Trade,1519,1550,2025-12-20
FE-2025-07,2025-06-20,2025-07,VietNova Consumer JSC,NovaDaily,Modern Trade,1430,1300,2025-08-15
FE-2025-07,2025-06-20,2025-08,VietNova Consumer JSC,NovaDaily,Modern Trade,1485,1350,2025-09-15
FE-2025-07,2025-06-20,2025-09,VietNova Consumer JSC,NovaDaily,Modern Trade,1540,1400,2025-10-15
FE-2025-07,2025-06-20,2025-10,VietNova Consumer JSC,NovaDaily,Modern Trade,1595,1450,2025-11-15
FE-2025-07,2025-06-20,2025-11,VietNova Consumer JSC,NovaDaily,Modern Trade,1650,1500,2025-12-15
FE-2025-07,2025-06-20,2025-12,VietNova Consumer JSC,NovaDaily,Modern Trade,1705,1550,2025-12-20
FE-2025-07,2025-09-01,2025-08,VietNova Consumer JSC,NovaDaily,Modern Trade,1500,1350,2025-08-20
FE-2025-12,2025-11-20,2025-12,VietNova Consumer JSC,NovaDaily,Modern Trade,1600,1550,2026-01-15
