scenario,month,opening_cash_vnd_mn,operating_cash_flow_vnd_mn,capex_vnd_mn,working_capital_cash_use_vnd_mn,interest_vnd_mn,principal_vnd_mn,min_cash_policy_vnd_mn,revolver_limit_vnd_mn,opening_revolver_vnd_mn,revolver_draw_vnd_mn,revolver_repayment_vnd_mn,ending_cash_vnd_mn,closing_revolver_vnd_mn,liquidity_headroom_vnd_mn
BASE,2026-01-01,1800,560,100,120,25,40,1200,2500,300,0,300,1775,0,3075
BASE,2026-02-01,1775,580,120,120,25,40,1200,2500,0,0,0,2050,0,3350
BASE,2026-03-01,2050,600,140,120,25,40,1200,2500,0,0,0,2325,0,3625
BASE,2026-04-01,2325,620,100,120,25,40,1200,2500,0,0,0,2660,0,3960
BASE,2026-05-01,2660,640,120,120,25,40,1200,2500,0,0,0,2995,0,4295
BASE,2026-06-01,2995,660,140,120,25,40,1200,2500,0,0,0,3330,0,4630
BASE,2026-07-01,3330,680,100,120,25,40,1200,2500,0,0,0,3725,0,5025
BASE,2026-08-01,3725,660,120,120,25,40,1200,2500,0,0,0,4080,0,5380
BASE,2026-09-01,4080,640,140,120,25,40,1200,2500,0,0,0,4395,0,5695
BASE,2026-10-01,4395,620,100,120,25,40,1200,2500,0,0,0,4730,0,6030
BASE,2026-11-01,4730,600,120,120,25,40,1200,2500,0,0,0,5025,0,6325
BASE,2026-12-01,5025,580,140,120,25,40,1200,2500,0,0,0,5280,0,6580
DOWNSIDE,2026-01-01,1800,380,180,420,35,50,1200,2500,300,0,295,1200,5,2495
DOWNSIDE,2026-02-01,1200,390,200,420,35,50,1200,2500,5,315,0,1200,320,2180
DOWNSIDE,2026-03-01,1200,400,220,420,35,50,1200,2500,320,325,0,1200,645,1855
DOWNSIDE,2026-04-01,1200,410,180,420,35,50,1200,2500,645,275,0,1200,920,1580
DOWNSIDE,2026-05-01,1200,420,200,420,35,50,1200,2500,920,285,0,1200,1205,1295
DOWNSIDE,2026-06-01,1200,430,220,420,35,50,1200,2500,1205,295,0,1200,1500,1000
DOWNSIDE,2026-07-01,1200,440,180,420,35,50,1200,2500,1500,245,0,1200,1745,755
DOWNSIDE,2026-08-01,1200,430,200,420,35,50,1200,2500,1745,275,0,1200,2020,480
DOWNSIDE,2026-09-01,1200,420,220,420,35,50,1200,2500,2020,305,0,1200,2325,175
DOWNSIDE,2026-10-01,1200,410,180,420,35,50,1200,2500,2325,175,0,1100,2500,-100
DOWNSIDE,2026-11-01,1100,400,200,420,35,50,1200,2500,2500,0,0,795,2500,-405
DOWNSIDE,2026-12-01,795,390,220,420,35,50,1200,2500,2500,0,0,460,2500,-740
