company_id,ticker,report_year,period_type,scope,metric,metric_original_label,value,comparative_value,unit,reported_or_calculated,source_file,source_page,source_url,extraction_method,confidence,review_status,extraction_timestamp_utc,note
Masan Consumer,MCH,2016,FY,consolidated,revenue,Net revenue,13789759442477.0,13211925043827.0,VND,reported,MCH_Audited_Consolidated_FS_2016.pdf,9,https://masanconsumer.com/wp-content/uploads/2024/12/2016-Consolidated-Financial-Statement-audited.pdf,ocr_rapidocr,medium,needs_human_review,,RapidOCR grouped line; code/note/year values filtered before amount selection. Canonical candidate selected by metric/page rule; independent review required.
Masan Consumer,MCH,2016,FY,consolidated,gross_profit,Gross profit,6249818487562.0,5947685471514.0,VND,reported,MCH_Audited_Consolidated_FS_2016.pdf,9,https://masanconsumer.com/wp-content/uploads/2024/12/2016-Consolidated-Financial-Statement-audited.pdf,ocr_rapidocr,medium,needs_human_review,,RapidOCR grouped line; code/note/year values filtered before amount selection. Canonical candidate selected by metric/page rule; independent review required.
Masan Consumer,MCH,2016,FY,consolidated,cash,Cash and cash equivalents,6914244921330.0,3366663621920.0,VND,reported,MCH_Audited_Consolidated_FS_2016.pdf,6,https://masanconsumer.com/wp-content/uploads/2024/12/2016-Consolidated-Financial-Statement-audited.pdf,ocr_rapidocr,medium,needs_human_review,,RapidOCR grouped line; code/note/year values filtered before amount selection. Canonical candidate selected by metric/page rule; independent review required.
Masan Consumer,MCH,2016,FY,consolidated,inventory,Inventories,715921028319.0,790231721814.0,VND,reported,MCH_Audited_Consolidated_FS_2016.pdf,6,https://masanconsumer.com/wp-content/uploads/2024/12/2016-Consolidated-Financial-Statement-audited.pdf,ocr_rapidocr,medium,needs_human_review,,RapidOCR grouped line; code/note/year values filtered before amount selection. Canonical candidate selected by metric/page rule; independent review required.
Masan Consumer,MCH,2016,FY,consolidated,total_debt,Calculated total debt = short-term borrowings + long-term borrowings,3097814964783.0,2248521375977.0,VND,calculated,MCH_Audited_Consolidated_FS_2016.pdf,8,https://masanconsumer.com/wp-content/uploads/2024/12/2016-Consolidated-Financial-Statement-audited.pdf,ocr_rapidocr,medium,needs_human_review,,OCR components aggregated; verify both borrowings rows against balance sheet.
Masan Consumer,MCH,2017,FY,consolidated,revenue,Net revenue,13789759442477.0,13211925043827.0,VND,reported,MCH_Audited_Consolidated_FS_2017.pdf,9,https://masanconsumer.com/wp-content/uploads/2024/12/Consolidated-Financial-Statements-3.pdf,ocr_rapidocr,medium,needs_human_review,,RapidOCR grouped line; code/note/year values filtered before amount selection. Canonical candidate selected by metric/page rule; independent review required.
Masan Consumer,MCH,2017,FY,consolidated,gross_profit,Gross profit,6249818487562.0,5947685471514.0,VND,reported,MCH_Audited_Consolidated_FS_2017.pdf,9,https://masanconsumer.com/wp-content/uploads/2024/12/Consolidated-Financial-Statements-3.pdf,ocr_rapidocr,medium,needs_human_review,,RapidOCR grouped line; code/note/year values filtered before amount selection. Canonical candidate selected by metric/page rule; independent review required.
Masan Consumer,MCH,2017,FY,consolidated,cash,Cash and cash equivalents,6914244921330.0,3366663621920.0,VND,reported,MCH_Audited_Consolidated_FS_2017.pdf,6,https://masanconsumer.com/wp-content/uploads/2024/12/Consolidated-Financial-Statements-3.pdf,ocr_rapidocr,medium,needs_human_review,,RapidOCR grouped line; code/note/year values filtered before amount selection. Canonical candidate selected by metric/page rule; independent review required.
Masan Consumer,MCH,2017,FY,consolidated,inventory,Inventories,715921028319.0,790231721814.0,VND,reported,MCH_Audited_Consolidated_FS_2017.pdf,6,https://masanconsumer.com/wp-content/uploads/2024/12/Consolidated-Financial-Statements-3.pdf,ocr_rapidocr,medium,needs_human_review,,RapidOCR grouped line; code/note/year values filtered before amount selection. Canonical candidate selected by metric/page rule; independent review required.
Masan Consumer,MCH,2017,FY,consolidated,total_debt,Calculated total debt = short-term borrowings + long-term borrowings,3097814964783.0,2248521375977.0,VND,calculated,MCH_Audited_Consolidated_FS_2017.pdf,8,https://masanconsumer.com/wp-content/uploads/2024/12/Consolidated-Financial-Statements-3.pdf,ocr_rapidocr,medium,needs_human_review,,OCR components aggregated; verify both borrowings rows against balance sheet.
Masan Consumer,MCH,2018,FY,consolidated,revenue,Net revenue,17006475612957.0,13213640273416.0,VND,reported,MCH_Audited_Consolidated_FS_2018.pdf,9,https://masanconsumer.com/wp-content/uploads/2024/12/2018-Consolidated-Financial-Statement-audited.pdf,ocr_rapidocr,medium,needs_human_review,,RapidOCR grouped line; code/note/year values filtered before amount selection. Canonical candidate selected by metric/page rule; independent review required.
Masan Consumer,MCH,2018,FY,consolidated,gross_profit,Gross profit,7618393349326.0,6032581436138.0,VND,reported,MCH_Audited_Consolidated_FS_2018.pdf,9,https://masanconsumer.com/wp-content/uploads/2024/12/2018-Consolidated-Financial-Statement-audited.pdf,ocr_rapidocr,medium,needs_human_review,,RapidOCR grouped line; code/note/year values filtered before amount selection. Canonical candidate selected by metric/page rule; independent review required.
