record_id,company_id,ticker,company_name,peer_role,period_type,fiscal_year,scope,audited_status,currency,scale,accounting_standard,restatement_status,fiscal_year_end,metric,metric_original_label,value,value_vnd_bn,unit,value_status,reported_or_calculated,calculation_definition,source_document_id,source_url,source_page,comparability_status,comparability_note,confidence,review_status,extraction_method,extraction_timestamp_utc
MCH-2024-net_revenue_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2024,consolidated,audited,VND,bn,VAS,current_authoritative,2024-12-31,net_revenue_vnd_bn,Net revenue,30897225625237,30897.225625237,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2024.pdf,8,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
MCH-2024-gross_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2024,consolidated,audited,VND,bn,VAS,current_authoritative,2024-12-31,gross_profit_vnd_bn,Gross profit,14404685240219,14404.685240219,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2024.pdf,8,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
MCH-2024-operating_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2024,consolidated,audited,VND,bn,VAS,current_authoritative,2024-12-31,operating_profit_vnd_bn,Net operating profit,9012591353499,9012.591353499,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2024.pdf,8,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
MCH-2024-profit_before_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2024,consolidated,audited,VND,bn,VAS,current_authoritative,2024-12-31,profit_before_tax_vnd_bn,Accounting profit before tax,9004312866417,9004.312866417,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2024.pdf,8,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
MCH-2024-profit_after_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2024,consolidated,audited,VND,bn,VAS,current_authoritative,2024-12-31,profit_after_tax_vnd_bn,Net profit after tax,7920537530999,7920.537530999,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2024.pdf,8,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
MCH-2024-total_assets_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2024,consolidated,audited,VND,bn,VAS,current_authoritative,2024-12-31,total_assets_vnd_bn,Total assets,27899960446330,27899.960446330,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2024.pdf,6,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
MCH-2024-owners_equity_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2024,consolidated,audited,VND,bn,VAS,current_authoritative,2024-12-31,owners_equity_vnd_bn,Owners' equity,11327826777302,11327.826777302,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2024.pdf,7,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
MCH-2024-operating_cash_flow_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2024,consolidated,audited,VND,bn,VAS,current_authoritative,2024-12-31,operating_cash_flow_vnd_bn,Net cash flows from operating activities,9227283460294,9227.283460294,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2024.pdf,10,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
MCH-2025-net_revenue_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2025,consolidated,audited,VND,bn,VAS,current_authoritative,2025-12-31,net_revenue_vnd_bn,Net revenue,30556536605941,30556.536605941,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2025.pdf,8,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
MCH-2025-gross_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2025,consolidated,audited,VND,bn,VAS,current_authoritative,2025-12-31,gross_profit_vnd_bn,Gross profit,13906342626057,13906.342626057,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2025.pdf,8,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
MCH-2025-operating_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2025,consolidated,audited,VND,bn,VAS,current_authoritative,2025-12-31,operating_profit_vnd_bn,Net operating profit,7764684316903,7764.684316903,VND_bn,reported_value,reported,,,MCH_Audited_Consolidated_FS_2025.pdf,8,partially_comparable,Visual page review completed 2026-08-30; statement value and tie-outs confirmed; latest-two-year supplement only,high,approved,visual_pdf_review_plus_tieout,2026-08-30T00:00:00Z
