entry_multiple_x,synergy_realization_x,enterprise_value_vnd_bn,equity_purchase_price_vnd_bn,debt_funding_vnd_bn,incremental_interest_vnd_bn,year2_eps_accretion_pct,deal_npv_vnd_bn
7,0.5,25.2,21.2,8.48,0.7632,0.13834191,23.78906285
7,0.75,25.2,21.2,8.48,0.7632,0.16052498,28.78906379
7,1,25.2,21.2,8.48,0.7632,0.18270805,33.78906474
7,1.25,25.2,21.2,8.48,0.7632,0.20489112,38.78906568
8.5,0.5,30.6,26.6,10.64,0.9576,0.1272308,18.38906285
8.5,0.75,30.6,26.6,10.64,0.9576,0.14941387,23.38906379
8.5,1,30.6,26.6,10.64,0.9576,0.17159694,28.38906474
8.5,1.25,30.6,26.6,10.64,0.9576,0.19378001,33.38906568
10,0.5,36,32,12.8,1.152,0.11611968,12.98906285
10,0.75,36,32,12.8,1.152,0.13830275,17.98906379
10,1,36,32,12.8,1.152,0.16048583,22.98906474
10,1.25,36,32,12.8,1.152,0.1826689,27.98906568
