draw_id,revenue_vnd_bn,ebitda_proxy_vnd_bn,ebitda_margin_pct,ccc_days,revenue_shock,margin_shock,ccc_shock,cost_inflation_shock
1,80.9682,13.7269,16.9535,48.8276,-0.5152,0.4663,-0.5655,-0.6071
2,83.8367,12.4174,14.8114,57.2575,0.441,-0.3801,0.4179,0.1661
3,81.442,12.6808,15.5704,43.8046,-0.3573,-0.0027,-1.4755,0.0665
4,84.3183,16.1592,19.1645,41.0357,0.6015,1.6783,-1.6681,-0.644
5,84.3424,13.6082,16.1344,57.6157,0.6095,0.1373,0.609,-0.3237
6,85.6266,14.584,17.032,56.7013,1.0376,0.1811,0.7708,-1.3471
7,78.3546,12.0541,15.384,59.1389,-1.3864,-0.0033,0.649,0.2981
8,76.0402,10.4095,13.6895,55.9183,-2.1579,-1.1781,0.3389,-0.2271
9,80.1366,12.6858,15.8302,64.0177,-0.7924,0.197,1.3765,0.191
10,81.1926,11.5584,14.2358,55.9146,-0.4404,-0.5541,0.1324,0.4939
11,83.6463,9.3824,11.2168,55.906,0.3775,-1.8235,-0.1311,1.4117
12,80.0675,11.3174,14.1348,52.6584,-0.8154,-0.8659,-0.1684,-0.0814
13,81.1017,15.1913,18.7312,52.9498,-0.4707,1.4356,0.0352,-0.6484
14,81.5835,8.0006,9.8066,64.2701,-0.3101,-2.318,0.8781,2.0618
15,81.8455,9.6602,11.8029,49.8412,-0.2228,-1.458,-1.023,1.5013
16,77.4471,11.3931,14.7109,55.5543,-1.6889,-0.6358,0.3031,-0.2835
17,83.3485,13.8737,16.6454,59.2327,0.2782,0.7454,0.6315,0.406
18,80.4935,10.4896,13.0316,60.1025,-0.6734,-1.44,0.8701,0.0059
19,79.37,11.1659,14.0682,55.6403,-1.0479,-0.823,0.2062,0.0984
20,83.9657,12.2573,14.598,51.6408,0.484,-0.2564,-0.5402,0.711
21,83.3442,13.879,16.6527,56.3931,0.2768,0.2549,0.5438,-0.7068
22,81.8224,10.8011,13.2006,53.8604,-0.2305,-0.8527,-0.3388,1.1161
23,81.5764,15.2714,18.7204,54.7967,-0.3125,1.2603,0.4079,-1.0294
24,84.4658,13.5621,16.0563,45.2768,0.6507,-0.0819,-1.0407,-0.7192
25,78.521,12.201,15.5385,57.8566,-1.3309,-0.0099,0.5252,0.0901
26,81.5448,10.8168,13.2649,57.2547,-0.323,-0.9069,0.2038,0.9139
27,81.0536,10.4452,12.8868,54.5172,-0.4867,-0.9648,-0.285,1.2562
28,84.1698,14.0884,16.738,53.1089,0.552,0.1591,0.1667,-1.0291
29,91.7291,14.2709,15.5577,61.016,3.0718,0.273,0.8015,0.7026
30,84.2804,15.9994,18.9835,39.0201,0.5889,1.7658,-2.0769,-0.2207
31,77.9518,12.5717,16.1275,61.1841,-1.5207,0.7549,0.7193,1.0746
32,75.1796,12.0369,16.0109,53.7088,-2.4447,0.0085,0.0895,-0.459
33,83.1488,13.5507,16.2969,43.0083,0.2117,-0.0633,-1.2908,-0.9779
34,79.8789,11.5431,14.4508,66.7077,-0.8783,-0.3937,1.6479,0.5862
35,86.3432,13.6154,15.7689,45.2967,1.2765,0.4005,-1.4506,0.7255
36,81.1504,11.2292,13.8375,44.0158,-0.4545,-1.0307,-1.4033,-0.0805
37,85.7665,15.2001,17.7226,39.0185,1.0842,0.6471,-1.8083,-1.1618
38,86.5717,12.6943,14.6633,40.08,1.3526,-0.3746,-2.0924,0.3635
39,80.8427,12.426,15.3706,60.338,-0.557,0.1855,0.6941,0.7395
40,81.2688,11.813,14.5356,55.7008,-0.415,-0.2749,0.0294,0.7475
41,86.4997,14.6612,16.9494,51.8739,1.3286,0.3901,-0.0827,-0.7735
42,89.0658,14.2582,16.0086,59.0231,2.184,-0.161,0.9569,-0.8376
43,86.2947,13.8558,16.0564,51.6883,1.2603,-0.0271,-0.16,-0.5959
44,84.0528,15.87,18.881,43.8686,0.513,1.4291,-1.2044,-0.8502
45,80.2952,12.4407,15.4937,68.2209,-0.7395,0.0322,1.9628,0.2408
46,78.6471,8.2641,10.5079,61.7206,-1.2889,-2.0781,0.6101,1.725
47,83.7789,13.3206,15.8997,45.8721,0.4217,-0.0329,-1.0431,-0.4131
48,86.7953,16.2368,18.707,43.7151,1.4272,1.3465,-1.2354,-0.8186
49,84.2145,13.3841,15.8929,52.0739,0.5669,0.191,-0.3035,0.0993
50,79.8694,11.7506,14.7122,58.6884,-0.8815,-0.3542,0.5703,0.3483
51,83.7849,11.9574,14.2715,62.8685,0.4237,-0.4768,1.0889,0.6232
52,84.4072,13.4246,15.9045,50.0837,0.6311,0.4642,-0.7593,0.6994
53,85.2651,12.2046,14.3137,55.7293,0.9171,-0.1066,-0.154,1.4036
54,80.4091,11.5255,14.3336,77.7192,-0.7016,-0.3214,3.1327,0.8953
55,78.2333,11.7497,15.0188,55.6774,-1.4268,-0.4791,0.3299,-0.3161
56,83.7612,14.5647,17.3884,49.2003,0.4158,0.324,-0.2654,-1.4711
57,81.5341,12.0509,14.7802,55.0551,-0.3266,-0.5568,0.2057,-0.1925
58,81.2885,11.1085,13.6655,45.7217,-0.4084,-0.7689,-1.3894,0.7236
59,82.8106,10.036,12.1193,60.5686,0.0989,-1.273,0.5035,1.5221
60,76.2589,10.726,14.0653,71.332,-2.085,-1.0713,2.6064,-0.4565
61,84.3781,14.1383,16.7559,53.2911,0.6214,0.8539,-0.2475,0.5118
62,83.2802,11.5078,13.8182,62.2051,0.2555,-0.9768,1.1536,0.065
63,79.595,11.316,14.217,51.7563,-0.9729,-1.1004,-0.1172,-0.7116
64,80.3364,14.1647,17.6318,34.85,-0.7258,0.2943,-2.2094,-1.8421
65,80.8062,10.7526,13.3067,72.9642,-0.5692,-0.6284,2.284,1.4883
66,84.4335,13.9083,16.4725,50.0173,0.6399,0.0177,-0.2788,-1.0154
67,81.8299,13.8967,16.9825,72.8121,-0.228,1.3343,2.3133,1.3095
68,86.1863,12.6402,14.6661,50.0254,1.2242,-0.3992,-0.6549,0.3047
69,78.1276,14.0819,18.0243,46.9603,-1.4621,0.901,-0.7292,-0.9675
70,78.9622,12.5305,15.8689,53.5136,-1.1839,-0.1088,0.0864,-0.5455
71,85.5841,15.8145,18.4783,48.6888,1.0234,1.1013,-0.4489,-1.0846
72,80.7248,13.4949,16.7171,58.1988,-0.5963,0.2503,0.8278,-0.7978
73,83.7647,11.7356,14.0102,61.1564,0.417,-0.2487,0.6043,1.4633
74,80.6263,12.2886,15.2414,53.3991,-0.6292,-0.277,-0.046,-0.1395
75,77.873,9.8726,12.6778,42.4311,-1.5469,-1.3084,-1.8654,0.7443
76,82.4914,12.3255,14.9416,59.7024,-0.0075,-0.145,0.6625,0.5323
77,84.6087,13.9652,16.5057,49.0139,0.6983,0.6183,-0.7965,0.2946
78,79.6032,11.8107,14.8369,46.2033,-0.9702,-0.5403,-1.0491,-0.2264
79,79.6623,13.1968,16.5659,52.9293,-0.9505,-0.0474,0.2123,-1.2785
80,85.3102,10.3136,12.0895,54.136,0.9321,-1.4528,-0.3105,1.1549
81,81.7138,11.4051,13.9574,48.3341,-0.2667,-0.8071,-0.8873,0.2727
82,86.3537,15.5911,18.0549,56.6505,1.28,1.0585,0.5648,-0.6514
83,83.8016,14.8841,17.7611,45.7125,0.4293,0.411,-0.6864,-1.7412
84,79.9592,10.0982,12.6292,61.0918,-0.8515,-1.6253,0.9868,0.0919
85,84.7043,13.7572,16.2414,58.5006,0.7302,0.3102,0.6625,-0.0684
86,78.5269,9.9765,12.7045,62.7995,-1.329,-0.9265,0.8084,1.5703
87,85.2122,16.3089,19.1392,51.4072,0.8995,1.7365,-0.2329,-0.4814
88,77.8145,12.9323,16.6194,55.1558,-1.5664,0.0902,0.4611,-1.036
89,80.9272,11.5148,14.2286,52.2618,-0.5289,-0.7088,-0.2926,0.155
