acquisition_month,credit_limit,customer_id,customer_type,payment_terms_days,region,segment
2023-01-01,2000000000,CUST001,modern_trade,45,North,A
2023-02-01,2500000000,CUST002,modern_trade,45,Central,B
2023-03-01,3000000000,CUST003,modern_trade,45,South,C
2023-04-01,3500000000,CUST004,modern_trade,45,North,A
2023-05-01,2000000000,CUST005,modern_trade,45,Central,B
2023-06-01,2500000000,CUST006,modern_trade,45,South,C
2023-07-01,3000000000,CUST007,modern_trade,45,North,A
2023-08-01,3500000000,CUST008,modern_trade,45,Central,B
2023-09-01,2000000000,CUST009,distributor,30,South,C
2023-10-01,2500000000,CUST010,distributor,30,North,A
2023-11-01,3000000000,CUST011,distributor,30,Central,B
2023-12-01,3500000000,CUST012,distributor,30,South,C
2024-01-01,2000000000,CUST013,distributor,30,North,A
2024-02-01,2500000000,CUST014,distributor,30,Central,B
2024-03-01,3000000000,CUST015,distributor,30,South,C
2024-04-01,3500000000,CUST016,distributor,30,North,A
2024-05-01,2000000000,CUST017,ecommerce,7,Central,B
2024-06-01,2500000000,CUST018,ecommerce,7,South,C
2023-01-01,3000000000,CUST019,ecommerce,7,North,A
2023-02-01,3500000000,CUST020,ecommerce,7,Central,B
2023-03-01,2000000000,CUST021,ecommerce,7,South,C
2023-04-01,2500000000,CUST022,food_service,30,North,A
2023-05-01,3000000000,CUST023,food_service,30,Central,B
2023-06-01,3500000000,CUST024,food_service,30,South,C
