cash_paid,closing_ap,dpo,month,opening_ap,overdue_ap,purchases,supplier_id
119325142,29831286,6.0,2023-01-01,0,4474693,149156428,SUP1
106487698,26621924,6.0,2023-01-01,0,3993289,133109622,SUP2
106656727,26664182,6.0,2023-01-01,0,3999627,133320909,SUP3
92978308,23244577,6.0,2023-01-01,0,3486687,116222885,SUP4
124792601,61029436,11.7,2023-02-01,29831286,9154415,155990751,SUP1
113305772,54948367,11.6,2023-02-01,26621924,8242255,141632215,SUP2
85903738,48140116,13.4,2023-02-01,26664182,7221017,107379672,SUP3
119104774,53020770,10.7,2023-02-01,23244577,7953116,148880967,SUP4
83895358,82003275,23.5,2023-03-01,61029436,12300491,104869198,SUP1
85094661,76222033,21.5,2023-03-01,54948367,11433305,106368326,SUP2
85869714,69607545,19.5,2023-03-01,48140116,10441132,107337143,SUP3
94435270,76629588,19.5,2023-03-01,53020770,11494438,118044088,SUP4
127682031,113923783,21.4,2023-04-01,82003275,17088567,159602539,SUP1
99020333,100977116,24.5,2023-04-01,76222033,15146567,123775416,SUP2
121522145,99988081,19.7,2023-04-01,69607545,14998212,151902681,SUP3
117185798,105926038,21.7,2023-04-01,76629588,15888906,146482248,SUP4
108653450,141087146,31.2,2023-05-01,113923783,21163072,135816813,SUP1
127692982,132900361,25.0,2023-05-01,100977116,19935054,159616228,SUP2
105776572,126432224,28.7,2023-05-01,99988081,18964834,132220715,SUP3
87919001,127905788,34.9,2023-05-01,105926038,19185868,109898751,SUP4
82056994,161601394,47.3,2023-06-01,141087146,24240209,102571242,SUP1
113851102,161363137,34.0,2023-06-01,132900361,24204471,142313878,SUP2
127631830,158340182,29.8,2023-06-01,126432224,23751027,159539788,SUP3
109369058,155248052,34.1,2023-06-01,127905788,23287208,136711322,SUP4
89355718,183940324,49.4,2023-07-01,161601394,27591049,111694648,SUP1
127846274,193324706,36.3,2023-07-01,161363137,28998706,159807843,SUP2
125295994,189664180,36.3,2023-07-01,158340182,28449627,156619993,SUP3
104642282,181408623,41.6,2023-07-01,155248052,27211293,130802853,SUP4
82480234,204560382,59.5,2023-08-01,183940324,30684057,103100293,SUP1
118121986,222855202,45.3,2023-08-01,193324706,33428280,147652483,SUP2
116735502,218848056,45.0,2023-08-01,189664180,32827208,145919378,SUP3
112358238,209498182,44.7,2023-08-01,181408623,31424727,140447797,SUP4
86353490,226148755,62.9,2023-09-01,204560382,33922313,107941863,SUP1
108772918,250048432,55.2,2023-09-01,222855202,37507265,135966147,SUP2
122338323,249432637,48.9,2023-09-01,218848056,37414895,152922904,SUP3
104874476,235716801,53.9,2023-09-01,209498182,35357520,131093095,SUP4
95438641,250008415,62.9,2023-10-01,226148755,37501262,119298301,SUP1
98710151,274725969,66.8,2023-10-01,250048432,41208895,123387689,SUP2
82874428,270151244,78.2,2023-10-01,249432637,40522687,103593035,SUP3
112354374,263805395,56.4,2023-10-01,235716801,39570809,140442967,SUP4
84977522,271252796,76.6,2023-11-01,250008415,40687919,106221903,SUP1
112510720,302853649,64.6,2023-11-01,274725969,45428047,140638400,SUP2
97619202,294556044,72.4,2023-11-01,270151244,44183407,122024002,SUP3
85610688,285208067,80.0,2023-11-01,263805395,42781210,107013360,SUP4
81073598,291521195,86.3,2023-12-01,271252796,43728179,101341998,SUP1
109582158,330249189,72.3,2023-12-01,302853649,49537378,136977698,SUP2
124561448,325696406,62.8,2023-12-01,294556044,48854461,155701810,SUP3
107601546,312108453,69.6,2023-12-01,285208067,46816268,134501932,SUP4
111869558,319488585,68.5,2024-01-01,291521195,47923288,139836947,SUP1
123748143,361186225,70.0,2024-01-01,330249189,54177934,154685179,SUP2
105416108,352050433,80.2,2024-01-01,325696406,52807565,131770135,SUP3
116876022,341327459,70.1,2024-01-01,312108453,51199119,146095028,SUP4
120733723,349672016,69.5,2024-02-01,319488585,52450802,150917154,SUP1
127186838,392982934,74.2,2024-02-01,361186225,58947440,158983548,SUP2
126722590,383731081,72.7,2024-02-01,352050433,57559662,158403238,SUP3
99026655,366084122,88.7,2024-02-01,341327459,54912618,123783319,SUP4
105191221,375969821,85.8,2024-03-01,349672016,56395473,131489026,SUP1
120491927,423105916,84.3,2024-03-01,392982934,63465887,150614909,SUP2
82639435,404390939,117.4,2024-03-01,383731081,60658641,103299294,SUP3
96709550,390261510,96.8,2024-03-01,366084122,58539226,120886938,SUP4
114816298,404673895,84.6,2024-04-01,375969821,60701084,143520372,SUP1
118275775,452674860,91.9,2024-04-01,423105916,67901229,147844719,SUP2
123322989,435221687,84.7,2024-04-01,404390939,65283253,154153736,SUP3
107922207,417242062,92.8,2024-04-01,390261510,62586309,134902759,SUP4
95055091,428437668,108.2,2024-05-01,404673895,64265650,118818864,SUP1
103821727,478630292,110.6,2024-05-01,452674860,71794544,129777159,SUP2
99004413,459972790,111.5,2024-05-01,435221687,68995918,123755516,SUP3
119503034,447117820,89.8,2024-05-01,417242062,67067673,149378792,SUP4
98763112,453128446,110.1,2024-06-01,428437668,67969267,123453890,SUP1
98864100,503346317,122.2,2024-06-01,478630292,75501948,123580125,SUP2
92847062,483184555,124.9,2024-06-01,459972790,72477683,116058827,SUP3
90173769,469661262,125.0,2024-06-01,447117820,70449189,112717211,SUP4
127361137,484968730,91.4,2024-07-01,453128446,72745310,159201421,SUP1
111442358,531206906,114.4,2024-07-01,503346317,79681036,139302947,SUP2
90680120,505854585,133.9,2024-07-01,483184555,75878188,113350150,SUP3
98095110,494185040,120.9,2024-07-01,469661262,74127756,122618888,SUP4
91756627,507907887,132.8,2024-08-01,484968730,76186183,114695784,SUP1
86688190,552878954,153.1,2024-08-01,531206906,82931843,108360237,SUP2
105890213,532327138,120.7,2024-08-01,505854585,79849071,132362766,SUP3
96250885,518247761,129.2,2024-08-01,494185040,77737164,120313606,SUP4
88683336,530078721,143.5,2024-09-01,507907887,79511808,110854170,SUP1
81603166,573279745,168.6,2024-09-01,552878954,85991962,102003958,SUP2
120703570,562503031,111.8,2024-09-01,532327138,84375455,150879462,SUP3
86771006,539940513,149.3,2024-09-01,518247761,80991077,108463758,SUP4
114654925,558742452,117.0,2024-10-01,530078721,83811368,143318656,SUP1
87710305,595207321,162.9,2024-10-01,573279745,89281098,109637881,SUP2
111986246,590499592,126.6,2024-10-01,562503031,88574939,139982808,SUP3
124228738,570997697,110.3,2024-10-01,539940513,85649655,155285923,SUP4
99810855,583695166,140.4,2024-11-01,558742452,87554275,124763569,SUP1
115683494,624128195,129.5,2024-11-01,595207321,93619229,144604368,SUP2
126356476,622088711,118.2,2024-11-01,590499592,93313307,157945595,SUP3
86881708,592718124,163.7,2024-11-01,570997697,88907719,108602135,SUP4
108893996,610918665,134.6,2024-12-01,583695166,91637800,136117495,SUP1
127453174,655991488,123.5,2024-12-01,624128195,98398723,159316467,SUP2
88908738,644315896,173.9,2024-12-01,622088711,96647384,111135923,SUP3
126974970,624461867,118.0,2024-12-01,592718124,93669280,158718712,SUP4
118049120,640430945,130.2,2025-01-01,610918665,96064642,147561400,SUP1
103136732,681775671,158.6,2025-01-01,655991488,102266351,128920915,SUP2
111947583,672302792,144.1,2025-01-01,644315896,100845419,139934479,SUP3
