company,ticker,fiscal_year,net_revenue_vnd_bn,operating_profit_vnd_bn,profit_before_tax_vnd_bn,profit_after_tax_vnd_bn,total_assets_vnd_bn,source_document,source_url,source_status,comparability_note
Vinamilk,VNM,2016,46965,,11238,9364,29379,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,reported_summary_verified,"2015-2020 financial summary table; consolidated VND bn"
Vinamilk,VNM,2017,51135,,12229,10278,34667,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,reported_summary_verified,"2015-2020 financial summary table; consolidated VND bn"
Vinamilk,VNM,2018,52629,,12052,10206,37366,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,reported_summary_verified,"2015-2020 financial summary table; consolidated VND bn"
Vinamilk,VNM,2019,56400,,12796,10554,44700,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,reported_summary_verified,"2015-2020 financial summary table; consolidated VND bn"
Vinamilk,VNM,2020,59723,,13519,11236,48432,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,reported_summary_verified,"2015-2020 financial summary table; consolidated VND bn"
Quang Ngai Sugar,QNS,2016,7114,,1543,1410,6124,QNS_Annual_Report_2019.pdf,https://drive.google.com/file/d/1xtHyX9DdneNTgGGrR4ZxS6M8Q1_t4gWR/view,reported_summary_verified,"2014-2019 summary; total revenue, not net revenue"
Quang Ngai Sugar,QNS,2017,7739,,1138,1027,6999,QNS_Annual_Report_2019.pdf,https://drive.google.com/file/d/1xtHyX9DdneNTgGGrR4ZxS6M8Q1_t4gWR/view,reported_summary_verified,"2014-2019 summary; total revenue, not net revenue"
Quang Ngai Sugar,QNS,2018,8219,,1405,1240,8002,QNS_Annual_Report_2019.pdf,https://drive.google.com/file/d/1xtHyX9DdneNTgGGrR4ZxS6M8Q1_t4gWR/view,reported_summary_verified,"2014-2019 summary; total revenue, not net revenue"
Quang Ngai Sugar,QNS,2019,7894,,1543,1291,9048,QNS_Annual_Report_2019.pdf,https://drive.google.com/file/d/1xtHyX9DdneNTgGGrR4ZxS6M8Q1_t4gWR/view,reported_summary_verified,"2014-2019 summary; total revenue, not net revenue"
KIDO Group,KDC,2016,2239,,1505.905,1183.382,9367.702,KDC_Annual_Report_2017.pdf,https://drive.google.com/file/d/16bhXj3Kk2JJoPw5n_hqAnFi2vrbPS4qi/view,reported_statement_verified,"2016 comparative; 2017 consolidation perimeter change (Vocarimex/TAC)"
KIDO Group,KDC,2017,7016,,560.639,440.105,11307.175,KDC_Annual_Report_2017.pdf,https://drive.google.com/file/d/16bhXj3Kk2JJoPw5n_hqAnFi2vrbPS4qi/view,reported_statement_verified,"2017 consolidation perimeter change (Vocarimex/TAC)"
KIDO Group,KDC,2018,7608.568,,176.538,147.631,12534.417,KDC_Annual_Report_2019.pdf,https://drive.google.com/file/d/1IanznF3KVKTN7l8i_olCrLM69k5Tl_pM/view,reported_statement_verified,"2018 comparative in 2019 audited statements; restated basis"
KIDO Group,KDC,2019,7209.947,,283.314,207.258,11932.154,KDC_Annual_Report_2019.pdf,https://drive.google.com/file/d/1IanznF3KVKTN7l8i_olCrLM69k5Tl_pM/view,reported_statement_verified,"2019 audited consolidated statement; VND bn"
Quang Ngai Sugar,QNS,2020,6490,,1266,1053,9150,QNS_Annual_Report_2020.pdf,https://drive.google.com/file/d/11X8-0YfdDQOzoRNxbxhpu-njEfBWmsBY/view,reported_statement_verified,"2020 narrative / statement; consolidated net revenue"
KIDO Group,KDC,2020,8324,,416,330.238,12349.155,KDC_Annual_Report_2020.pdf,https://drive.google.com/file/d/14sQQ1_tXzz93RJ36VOjmaHDR0xJRFi23/view,reported_statement_verified,"2020 narrative and audited consolidated statement; VND bn"
