scenario,fiscal_year,metric,baseline_value,driver,expected_value,generated_value,delta,tolerance,status,evidence_class
BASE,FY2026,Revenue,82.5138,6% revenue growth,87.464628,87.464628,0,0.001,PASS,SIMULATED/DERIVED
BASE,FY2026,Gross Profit,82.5138,governed driver formula,28.967223,28.967223,0,0.001,PASS,SIMULATED/DERIVED
BASE,FY2026,OPEX,82.5138,governed driver formula,14.72037,14.72037,0,0.001,PASS,SIMULATED/DERIVED
BASE,FY2026,EBITDA Proxy,82.5138,governed driver formula,14.246853,14.246853,0,0.001,PASS,SIMULATED/DERIVED
BASE,FY2026,DSO,82.5138,governed driver formula,38,38,0,0,PASS,SIMULATED/DERIVED
BASE,FY2026,DIO,82.5138,governed driver formula,45,45,0,0,PASS,SIMULATED/DERIVED
BASE,FY2026,DPO,82.5138,governed driver formula,35,35,0,0,PASS,SIMULATED/DERIVED
BASE,FY2026,CCC,82.5138,governed driver formula,48,48,0,0,PASS,SIMULATED/DERIVED
UPSIDE,FY2026,Revenue,82.5138,10% revenue growth,90.76518,90.76518,0,0.001,PASS,SIMULATED/DERIVED
UPSIDE,FY2026,Gross Profit,82.5138,governed driver formula,30.695682,30.695682,0,0.001,PASS,SIMULATED/DERIVED
UPSIDE,FY2026,OPEX,82.5138,governed driver formula,14.650273,14.650273,0,0.001,PASS,SIMULATED/DERIVED
UPSIDE,FY2026,EBITDA Proxy,82.5138,governed driver formula,16.045409,16.045409,0,0.001,PASS,SIMULATED/DERIVED
UPSIDE,FY2026,DSO,82.5138,governed driver formula,32,32,0,0,PASS,SIMULATED/DERIVED
UPSIDE,FY2026,DIO,82.5138,governed driver formula,38,38,0,0,PASS,SIMULATED/DERIVED
UPSIDE,FY2026,DPO,82.5138,governed driver formula,40,40,0,0,PASS,SIMULATED/DERIVED
UPSIDE,FY2026,CCC,82.5138,governed driver formula,30,30,0,0,PASS,SIMULATED/DERIVED
DOWNSIDE,FY2026,Revenue,82.5138,-2% revenue growth,80.863524,80.863524,0,0.001,PASS,SIMULATED/DERIVED
DOWNSIDE,FY2026,Gross Profit,82.5138,governed driver formula,25.568065,25.568065,0,0.001,PASS,SIMULATED/DERIVED
DOWNSIDE,FY2026,OPEX,82.5138,governed driver formula,15.000758,15.000758,0,0.001,PASS,SIMULATED/DERIVED
DOWNSIDE,FY2026,EBITDA Proxy,82.5138,governed driver formula,10.567307,10.567307,0,0.001,PASS,SIMULATED/DERIVED
DOWNSIDE,FY2026,DSO,82.5138,governed driver formula,52,52,0,0,PASS,SIMULATED/DERIVED
DOWNSIDE,FY2026,DIO,82.5138,governed driver formula,60,60,0,0,PASS,SIMULATED/DERIVED
DOWNSIDE,FY2026,DPO,82.5138,governed driver formula,28,28,0,0,PASS,SIMULATED/DERIVED
DOWNSIDE,FY2026,CCC,82.5138,governed driver formula,84,84,0,0,PASS,SIMULATED/DERIVED
