"company","ticker","report_year","document_type","language","official_index_url","drive_folder_url","acquisition_status","qa_status","notes"
"Vinamilk","VNM","2006","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2007","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2008","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2009","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2010","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2011","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2012","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2013","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2014","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2015","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2016","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2017","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2018","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2019","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2020","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2021","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2022","Annual Report","VI","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2023","Annual Report","VI","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2024","Annual Report","VI","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Vinamilk","VNM","2025","Annual Report","Mixed/EN","https://www.vinamilk.com.vn/investor/reports/annual/","https://drive.google.com/drive/folders/1NFcgvwkL6FL8X6xKOPIiPGLXSffQFpsD","UPLOADED","PDF_MAGIC_VERIFIED","Complete official archive coverage"
"Quang Ngai Sugar","QNS","2016","Annual Report","VI","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","UPLOADED","PDF_MAGIC_VERIFIED","Official archive"
"Quang Ngai Sugar","QNS","2017","Annual Report","VI","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","UPLOADED","PDF_MAGIC_VERIFIED","Official archive"
"Quang Ngai Sugar","QNS","2018","Annual Report","VI","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","UPLOADED","PDF_MAGIC_VERIFIED","Official archive"
"Quang Ngai Sugar","QNS","2019","Annual Report","VI","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","UPLOADED","PDF_MAGIC_VERIFIED","Official archive"
"Quang Ngai Sugar","QNS","2020","Annual Report","VI","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","UPLOADED","PDF_MAGIC_VERIFIED","Official archive"
"Quang Ngai Sugar","QNS","2021","Annual Report","VI","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","UPLOADED","PDF_MAGIC_VERIFIED","Official archive"
"Quang Ngai Sugar","QNS","2022","Annual Report","VI","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","UPLOADED","PDF_MAGIC_VERIFIED","Official archive"
"Quang Ngai Sugar","QNS","2023","Annual Report","VI","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","UPLOADED","PDF_MAGIC_VERIFIED","Official archive"
"Quang Ngai Sugar","QNS","2024","Annual Report","EN","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","UPLOADED","PDF_MAGIC_VERIFIED","English edition selected"
"Quang Ngai Sugar","QNS","2025","Annual Report","VI","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","UPLOADED","PDF_MAGIC_VERIFIED","Official archive"
"Quang Ngai Sugar","QNS","2015","Annual Report","VI","https://www.qns.com.vn/bao-cao-thuong-nien","https://drive.google.com/drive/folders/1sWFTncgSY4sZccIoW7tmpaB4siNXY8dK","GAP","IDENTITY_CHECK_FAILED","Legacy LinkClick attachments return server error; duplicate archive PDF labeled 2015 was confirmed by text extraction to be the 2016 report and was rejected"
"KIDO Group","KDC","2016","Annual Report","VI","https://kdc.vn/bai-viet/categories/bao-cao-thuong-nien","https://drive.google.com/drive/folders/15XP915-UykD_LJFu8DkcJ0Dch-Y3jxsD","UPLOADED","PDF_MAGIC_VERIFIED","Official KIDO archive"
"KIDO Group","KDC","2017","Annual Report","EN","https://kdc.vn/bai-viet/categories/bao-cao-thuong-nien","https://drive.google.com/drive/folders/15XP915-UykD_LJFu8DkcJ0Dch-Y3jxsD","UPLOADED","PDF_MAGIC_VERIFIED","Official KIDO archive"
"KIDO Group","KDC","2018","Annual Report","EN","https://kdc.vn/bai-viet/categories/bao-cao-thuong-nien","https://drive.google.com/drive/folders/15XP915-UykD_LJFu8DkcJ0Dch-Y3jxsD","UPLOADED","PDF_MAGIC_VERIFIED","Official KIDO archive"
"KIDO Group","KDC","2019","Annual Report","EN","https://kdc.vn/bai-viet/categories/bao-cao-thuong-nien","https://drive.google.com/drive/folders/15XP915-UykD_LJFu8DkcJ0Dch-Y3jxsD","UPLOADED","PDF_MAGIC_VERIFIED","Official KIDO archive"
"KIDO Group","KDC","2020","Annual Report","EN","https://kdc.vn/bai-viet/categories/bao-cao-thuong-nien","https://drive.google.com/drive/folders/15XP915-UykD_LJFu8DkcJ0Dch-Y3jxsD","UPLOADED","PDF_MAGIC_VERIFIED","Official KIDO archive"
"KIDO Group","KDC","2021","Annual Report","EN","https://kdc.vn/bai-viet/categories/bao-cao-thuong-nien","https://drive.google.com/drive/folders/15XP915-UykD_LJFu8DkcJ0Dch-Y3jxsD","UPLOADED","PDF_MAGIC_VERIFIED","Official KIDO archive"
"KIDO Group","KDC","2022","Annual Report","EN","https://kdc.vn/bai-viet/categories/bao-cao-thuong-nien","https://drive.google.com/drive/folders/15XP915-UykD_LJFu8DkcJ0Dch-Y3jxsD","UPLOADED","PDF_MAGIC_VERIFIED","Official KIDO archive"
"KIDO Group","KDC","2023","Annual Report","EN","https://kdc.vn/bai-viet/categories/bao-cao-thuong-nien","https://drive.google.com/drive/folders/15XP915-UykD_LJFu8DkcJ0Dch-Y3jxsD","UPLOADED","PDF_MAGIC_VERIFIED","Official KIDO archive"
"KIDO Group","KDC","2024","Annual Report","EN","https://kdc.vn/bai-viet/categories/bao-cao-thuong-nien","https://drive.google.com/drive/folders/15XP915-UykD_LJFu8DkcJ0Dch-Y3jxsD","UPLOADED","PDF_MAGIC_VERIFIED","Official KIDO archive"
"KIDO Group","KDC","2025","Annual Report","EN","https://kdc.vn/bai-viet/categories/bao-cao-thuong-nien","https://drive.google.com/drive/folders/15XP915-UykD_LJFu8DkcJ0Dch-Y3jxsD","UPLOADED","PDF_MAGIC_VERIFIED","Official KIDO archive"
"Masan Consumer","MCH","2015","Annual Report","EN","https://masanconsumer.com/en/annual-report/","https://drive.google.com/drive/folders/1r0C9m7AzuJQAr3kr73wKQ4XA2bd7S2Vx","GAP","OFFICIAL_ATTACHMENT_UNAVAILABLE","Report page/search index exists, but current official attachment is missing or returns 404; fill only from official exchange/company filing"
"Masan Consumer","MCH","2016","Annual Report","EN","https://masanconsumer.com/en/annual-report/","https://drive.google.com/drive/folders/1r0C9m7AzuJQAr3kr73wKQ4XA2bd7S2Vx","GAP","OFFICIAL_ATTACHMENT_UNAVAILABLE","Report page/search index exists, but current official attachment is missing or returns 404; fill only from official exchange/company filing"
"Masan Consumer","MCH","2017","Annual Report","EN","https://masanconsumer.com/en/annual-report/","https://drive.google.com/drive/folders/1r0C9m7AzuJQAr3kr73wKQ4XA2bd7S2Vx","GAP","OFFICIAL_ATTACHMENT_UNAVAILABLE","Report page/search index exists, but current official attachment is missing or returns 404; fill only from official exchange/company filing"
"Masan Consumer","MCH","2018","Annual Report","EN","https://masanconsumer.com/en/annual-report/","https://drive.google.com/drive/folders/1r0C9m7AzuJQAr3kr73wKQ4XA2bd7S2Vx","UPLOADED","PDF_MAGIC_VERIFIED","Official current media URL"
"Masan Consumer","MCH","2019","Annual Report","EN","https://masanconsumer.com/en/annual-report/","https://drive.google.com/drive/folders/1r0C9m7AzuJQAr3kr73wKQ4XA2bd7S2Vx","UPLOADED","PDF_MAGIC_VERIFIED","Official current media URL"
