company,ticker,fiscal_year,revenue_vnd_bn,profit_before_tax_vnd_bn,profit_after_tax_vnd_bn,total_assets_vnd_bn,source_document,source_url,source_status,comparability_note
Vinamilk,VNM,2007,6649,955.381,963,5425.117,VNM_Annual_Report_2007.pdf,https://drive.google.com/file/d/18bDh7lOfg3xUyJsdT-duGE7laymBYX3O/view,summary_candidate_review_required,"Revenue/PBT/PAT/asset summary extracted from official report; gross profit, equity and CFO still require statement-page review"
Vinamilk,VNM,2008,8381,1371.313,1250,5966.959,VNM_Annual_Report_2008.pdf,https://drive.google.com/file/d/1u8m2YW31sizcckCXF2OJZAHE7JpDNHrb/view,summary_candidate_review_required,"Total revenue basis; gross profit, equity and CFO still require statement-page review"
Vinamilk,VNM,2009,10820,2731.358,2376,8482.036,VNM_Annual_Report_2009.pdf,https://drive.google.com/file/d/1Gf0kIBZUy6f4wQ1I5A9KXFOwN_A82rEa/view,summary_candidate_review_required,"Total revenue basis; gross profit, equity and CFO still require statement-page review"
Vinamilk,VNM,2010,16081,4251.207,3616,10773.032,VNM_Annual_Report_2010.pdf,https://drive.google.com/file/d/1odK3EfOC89Zj0DagGdhuTaO_JtGWLMZD/view,summary_candidate_review_required,"Total revenue basis; gross profit, equity and CFO still require statement-page review"
Vinamilk,VNM,2011,22071,4979,4218,15582.672,VNM_Annual_Report_2011.pdf,https://drive.google.com/file/d/11ZPUwIM_Sl_i8FUWUATCPoetHoVlnvDs/view,summary_candidate_review_required,"Total revenue basis; gross profit, equity and CFO still require statement-page review"
Vinamilk,VNM,2012,27102,6930,5819,19697.868,VNM_Annual_Report_2012.pdf,https://drive.google.com/file/d/1qL6MxR78GOwKohN91__d9bJsE7sgGy5c/view,summary_candidate_review_required,"Total revenue basis; gross profit, equity and CFO still require statement-page review"
Vinamilk,VNM,2013,31586,8010,6534,22875.414,VNM_Annual_Report_2013.pdf,https://drive.google.com/file/d/1Mnh5QV6ZRPSCQoBDCClR4Pd3CjIZDt1D/view,summary_candidate_review_required,"Total revenue basis; gross profit, equity and CFO still require statement-page review"
Vinamilk,VNM,2014,35704,7613,6068,25770.138,VNM_Annual_Report_2014.pdf,https://drive.google.com/file/d/1LLK3oib_54MJur88eA4tng6WYKjK-YAT/view,summary_candidate_review_required,"Total revenue basis; gross profit, equity and CFO still require statement-page review"
Vinamilk,VNM,2015,40223,9367,7770,27478.176,VNM_Annual_Report_2015.pdf,https://drive.google.com/file/d/1F2fn3TYgQMkl_C7xoasOAGPOzbCXY8R8/view,summary_candidate_review_required,"Total revenue basis; gross profit, equity and CFO still require statement-page review"

