company,ticker,fiscal_year,metric,forecast_class,guidance_vnd_bn,actual_vnd_bn,error_vnd_bn,abs_error_vnd_bn,attainment_pct,target_source_date,target_source_type,target_source_url,target_page,actual_source_url,actual_page,evidence_class,gate_a_eligible,notes
Vinamilk,VNM,2018,revenue,PUBLIC_GUIDANCE_PROXY,55500,52629,-2871,2871,94.83,2018-03-31,AGM_approved_guidance,https://www.vinamilk.com.vn/static/uploads/article/1521714431-aa9f8aad44b34d3d3be4ed2691c9512fa4fae231a041424fc87bc9be6937c1c8.pdf,2,https://www.vinamilk.com.vn/static/uploads/bc_thuong_nien/1617354921-f48f48ff7baf40d9af270083a736eaaf0f52a6c5873367d134b4c83f193b0677.pdf,16-17,OBSERVED,NO,Total consolidated revenue basis
Vinamilk,VNM,2018,pbt,PUBLIC_GUIDANCE_PROXY,12800,12052,-748,748,94.16,2018-03-31,AGM_approved_guidance,https://www.vinamilk.com.vn/static/uploads/article/1521714431-aa9f8aad44b34d3d3be4ed2691c9512fa4fae231a041424fc87bc9be6937c1c8.pdf,2,https://www.vinamilk.com.vn/static/uploads/bc_thuong_nien/1617354921-f48f48ff7baf40d9af270083a736eaaf0f52a6c5873367d134b4c83f193b0677.pdf,16-17,OBSERVED,NO,Consolidated profit before tax basis
Vinamilk,VNM,2019,revenue,PUBLIC_GUIDANCE_PROXY,56300,56400,100,100,100.18,2019-04-26,AGM_public_report,https://baochinhphu.vn/nam-2019-vinamilk-dat-muc-tieu-doanh-thu-tang-7-102255192.htm,,https://www.vinamilk.com.vn/static/uploads/bc_thuong_nien/1617354921-f48f48ff7baf40d9af270083a736eaaf0f52a6c5873367d134b4c83f193b0677.pdf,16-17,OBSERVED,NO,Total consolidated revenue basis
Vinamilk,VNM,2019,pbt,PUBLIC_GUIDANCE_PROXY,12650,12796,146,146,101.15,2019-04-26,AGM_public_report,https://baochinhphu.vn/nam-2019-vinamilk-dat-muc-tieu-doanh-thu-tang-7-102255192.htm,,https://www.vinamilk.com.vn/static/uploads/bc_thuong_nien/1617354921-f48f48ff7baf40d9af270083a736eaaf0f52a6c5873367d134b4c83f193b0677.pdf,16-17,OBSERVED,NO,Consolidated profit before tax basis
Vinamilk,VNM,2020,revenue,PUBLIC_GUIDANCE_PROXY,59600,59723,123,123,100.21,2020-06-26,AGM_approved_guidance,https://www.vinamilk.com.vn/static/uploads/article/1591956600-d7ba96d83a98490b0262f3a41e3eab4563bdc06f8fef63581d60c2b4c9aad118.pdf,2,https://www.vinamilk.com.vn/static/uploads/documents/bctc/1611915456_6-_TCBC-_C%E1%BA%ADp_nh%E1%BA%ADt_K%E1%BA%BFt_qu%E1%BA%A3_kinh_doanh_Q4.2020_v%C3%A0_c%E1%BA%A3_n%C4%83m_2020_.pdf,1,OBSERVED,NO,Total consolidated revenue basis
Vinamilk,VNM,2020,pbt,PUBLIC_GUIDANCE_PROXY,13000,13519,519,519,103.99,2020-06-26,AGM_approved_guidance,https://www.vinamilk.com.vn/static/uploads/article/1591956600-d7ba96d83a98490b0262f3a41e3eab4563bdc06f8fef63581d60c2b4c9aad118.pdf,2,https://www.vinamilk.com.vn/static/uploads/documents/bctc/1611915456_6-_TCBC-_C%E1%BA%ADp_nh%E1%BA%ADt_K%E1%BA%BFt_qu%E1%BA%A3_kinh_doanh_Q4.2020_v%C3%A0_c%E1%BA%A3_n%C4%83m_2020_.pdf,1,OBSERVED,NO,Consolidated profit before tax basis
Vinamilk,VNM,2021,revenue,PUBLIC_GUIDANCE_PROXY,62160,61012,-1148,1148,98.15,2021-04-26,AGM_approved_guidance,https://www.vinamilk.com.vn/static/uploads/article/1619519444-7b938ee03af9b88ea6f97a8f473270edfb56b65d9ccd06619ecb5156396ed49e.pdf,2,https://www.vinamilk.com.vn/static/uploads/bc_thuong_nien/1650451537-6f22ffdd6ecd4ea5cc133b0046bc3085a10648db1369033c5dfe1daed93f04a7.pdf,104-105,OBSERVED,NO,Total consolidated revenue basis
Vinamilk,VNM,2021,pbt,PUBLIC_GUIDANCE_PROXY,13690,12922,-768,768,94.39,2021-04-26,AGM_approved_guidance,https://www.vinamilk.com.vn/static/uploads/article/1619519444-7b938ee03af9b88ea6f97a8f473270edfb56b65d9ccd06619ecb5156396ed49e.pdf,2,https://www.vinamilk.com.vn/static/uploads/bc_thuong_nien/1650451537-6f22ffdd6ecd4ea5cc133b0046bc3085a10648db1369033c5dfe1daed93f04a7.pdf,104-105,OBSERVED,NO,Consolidated profit before tax basis
Vinamilk,VNM,2022,revenue,PUBLIC_GUIDANCE_PROXY,64070,60075,-3995,3995,93.77,2022-04-26,AGM_public_report,https://vnexpress.net/vinamilk-dat-muc-tieu-doanh-thu-hon-64-000-ty-dong-4456056.html,,https://www.vinamilk.com.vn/bao-cao-thuong-nien/bao-cao/2022/download-file/vinamilk_annual_report_2022.pdf,8,OBSERVED,NO,Total consolidated revenue basis
Vinamilk,VNM,2022,pbt,PUBLIC_GUIDANCE_PROXY,12000,10496,-1504,1504,87.47,2022-04-26,AGM_public_report,https://vnexpress.net/vinamilk-dat-muc-tieu-doanh-thu-hon-64-000-ty-dong-4456056.html,,https://www.vinamilk.com.vn/bao-cao-thuong-nien/bao-cao/2022/download-file/vinamilk_annual_report_2022.pdf,8,OBSERVED,NO,Consolidated profit before tax basis
