cash_collected,closing_ar,credit_note,customer_id,dso,invoiced,month,opening_ar,overdue_0_30,overdue_31_60,overdue_61_plus
31772468,20739456,0,CUST001,45,52511924,2023-01-01,0,11406701,5184864,4147891
0,0,0,CUST002,45,0,2023-01-01,0,0,0,0
34188958,18791099,0,CUST003,45,52980057,2023-01-01,0,10335105,4697775,3758220
34167880,17221446,0,CUST004,45,51389326,2023-01-01,0,9471795,4305362,3444289
29788510,18521276,0,CUST005,45,48309786,2023-01-01,0,10186702,4630319,3704255
31891556,17015501,0,CUST006,45,48907057,2023-01-01,0,9358526,4253875,3403100
32113759,18085058,0,CUST007,45,50198817,2023-01-01,0,9946782,4521264,3617012
0,0,0,CUST008,45,0,2023-01-01,0,0,0,0
44168021,4379882,0,CUST009,30,48547903,2023-01-01,0,2408935,1094971,875976
48833435,1113377,0,CUST010,30,49946812,2023-01-01,0,612357,278344,222675
41755967,1937431,0,CUST011,30,43693398,2023-01-01,0,1065587,484358,387486
51347296,1188563,0,CUST012,30,52535859,2023-01-01,0,653710,297141,237713
44710017,2093931,0,CUST013,30,46803948,2023-01-01,0,1151662,523483,418786
0,0,0,CUST014,30,0,2023-01-01,0,0,0,0
45485402,3614014,0,CUST015,30,49099416,2023-01-01,0,1987708,903504,722803
50810648,1213888,0,CUST016,30,52024536,2023-01-01,0,667638,303472,242778
42742269,922464,0,CUST017,7,43664733,2023-01-01,0,507355,230616,184493
51013322,3986150,0,CUST018,7,54999472,2023-01-01,0,2192383,996538,797230
49105534,426952,0,CUST019,7,49532486,2023-01-01,0,234824,106738,85390
0,0,0,CUST020,7,0,2023-01-01,0,0,0,0
48073514,383663,0,CUST021,7,48457177,2023-01-01,0,211015,95916,76733
51648713,3581139,0,CUST022,30,55229852,2023-01-01,0,1969626,895285,716228
46077209,1964449,0,CUST023,30,48041658,2023-01-01,0,1080447,491112,392890
52160547,1516871,0,CUST024,30,53677418,2023-01-01,0,834279,379218,303374
30750572,39018605,0,CUST001,45,49029721,2023-02-01,20739456,21460233,9754651,7803721
0,0,0,CUST002,45,0,2023-02-01,0,0,0,0
34784934,36872578,0,CUST003,45,52866413,2023-02-01,18791099,20279918,9218144,7374516
34975025,39036759,0,CUST004,45,56790338,2023-02-01,17221446,21470217,9759190,7807352
32616939,35317505,0,CUST005,45,49413168,2023-02-01,18521276,19424628,8829376,7063501
32331412,37682996,0,CUST006,45,52998907,2023-02-01,17015501,20725648,9420749,7536599
34888971,37303637,0,CUST007,45,54107550,2023-02-01,18085058,20517000,9325909,7460727
0,0,0,CUST008,45,0,2023-02-01,0,0,0,0
54422654,5760265,0,CUST009,30,55803037,2023-02-01,4379882,3168146,1440066,1152053
55730511,4735504,0,CUST010,30,59352638,2023-02-01,1113377,2604527,1183876,947101
47954051,6991140,0,CUST011,30,53007759,2023-02-01,1937431,3845127,1747785,1398228
49686689,5803936,0,CUST012,30,54302063,2023-02-01,1188563,3192165,1450984,1160787
54892027,4320737,0,CUST013,30,57118832,2023-02-01,2093931,2376405,1080184,864147
0,0,0,CUST014,30,0,2023-02-01,0,0,0,0
54616697,4831394,0,CUST015,30,55834076,2023-02-01,3614014,2657267,1207848,966279
51829397,4730852,0,CUST016,30,55346361,2023-02-01,1213888,2601969,1182713,946170
52109760,2310414,0,CUST017,7,53497710,2023-02-01,922464,1270728,577604,462083
50151672,5508023,0,CUST018,7,51673545,2023-02-01,3986150,3029412,1377006,1101605
52807060,2704986,0,CUST019,7,55085094,2023-02-01,426952,1487742,676246,540997
0,0,0,CUST020,7,0,2023-02-01,0,0,0,0
47106839,3904718,0,CUST021,7,50627894,2023-02-01,383663,2147595,976180,780944
48139512,6486776,0,CUST022,30,51045149,2023-02-01,3581139,3567727,1621694,1297355
40352299,5354059,0,CUST023,30,43741908,2023-02-01,1964449,2944732,1338515,1070812
48395044,2050147,0,CUST024,30,48928320,2023-02-01,1516871,1127581,512537,410029
35102850,61022525,0,CUST001,45,57106770,2023-03-01,39018605,33562389,15255631,12204505
0,0,0,CUST002,45,0,2023-03-01,0,0,0,0
