channel_id,cogs,commission,contribution_margin,customer_id,date,discount,freight,gross_sales,is_intercompany,is_stockout,line_id,month,net_sales,order_id,payment_fee,promo_id,region,returns,sku_id,trade_spend,units
MT,936540,83200,904250,CUST003,2023-01-01,87120,24960,2178000,False,False,LINE000000001,2023-01-01,2079990,ORD00000001,37440,,South,10890,SKU001,93600,121
GT,959760,54405,1092397,CUST004,2023-01-01,44640,26114,2232000,False,False,LINE000000002,2023-01-01,2176200,ORD00000002,0,,North,11160,SKU001,43524,124
EC,1191960,207817,905767,CUST005,2023-01-01,277200,29339,2772000,False,False,LINE000000003,2023-01-01,2444904,ORD00000003,61123,,Central,49896,SKU001,48898,154
CV,959760,73823,987069,CUST006,2023-01-01,111600,25311,2232000,False,False,LINE000000004,2023-01-01,2109240,ORD00000004,21092,,South,11160,SKU001,42185,124
FS,1308060,58711,1474822,CUST007,2023-01-01,91260,35226,3042000,False,False,LINE000000005,2023-01-01,2935530,ORD00000005,0,,North,15210,SKU001,58711,169
MT,1555338,130587,1333893,CUST009,2023-01-01,136740,39176,3418500,False,False,LINE000000006,2023-01-01,3264668,ORD00000006,58764,,South,17092,SKU002,146910,159
GT,1545556,82802,1577730,CUST010,2023-01-01,67940,39745,3397000,False,False,LINE000000007,2023-01-01,3312075,ORD00000007,0,,North,16985,SKU002,66242,158
EC,1584684,261121,1051097,CUST011,2023-01-01,348300,36864,3483000,False,False,LINE000000008,2023-01-01,3072006,ORD00000008,76800,,Central,62694,SKU002,61440,162
CV,1790106,130134,1641703,CUST012,2023-01-01,196725,44617,3934500,False,False,LINE000000009,2023-01-01,3718103,ORD00000009,37181,,South,19672,SKU002,74362,183
FS,1467300,62242,1482995,CUST013,2023-01-01,96750,37346,3225000,False,False,LINE000000010,2023-01-01,3112125,ORD00000010,0,,North,16125,SKU002,62242,150
MT,1680000,133700,1278113,CUST015,2023-01-01,140000,40110,3500000,False,False,LINE000000011,2023-01-01,3342500,ORD00000011,60165,,South,17500,SKU003,150412,140
GT,1704000,86531,1559959,CUST016,2023-01-01,71000,41535,3550000,False,False,LINE000000012,2023-01-01,3461250,ORD00000012,0,,North,17750,SKU003,69225,142
EC,1524000,238030,878700,CUST017,2023-01-01,317500,33604,3175000,False,False,LINE000000013,2023-01-01,2800350,ORD00000013,70009,,Central,57150,SKU003,56007,127
CV,1884000,129819,1539523,CUST018,2023-01-01,196250,44510,3925000,False,False,LINE000000014,2023-01-01,3709125,ORD00000014,37091,,South,19625,SKU003,74182,157
FS,1908000,76718,1728409,CUST019,2023-01-01,119250,46030,3975000,False,False,LINE000000015,2023-01-01,3835875,ORD00000015,0,,North,19875,SKU003,76718,159
MT,2245152,169837,1512496,CUST021,2023-01-01,177840,50951,4446000,False,False,LINE000000016,2023-01-01,4245930,ORD00000016,76427,,South,22230,SKU004,191067,156
GT,1741432,84057,1429206,CUST022,2023-01-01,68970,40347,3448500,False,False,LINE000000017,2023-01-01,3362288,ORD00000017,0,,North,17242,SKU004,67246,121
EC,2029272,301267,1011752,CUST023,2023-01-01,401850,42532,4018500,False,False,LINE000000018,2023-01-01,3544317,ORD00000018,88608,,Central,72333,SKU004,70886,141
CV,2619344,171560,1904939,CUST024,2023-01-01,259350,58821,5187000,False,False,LINE000000019,2023-01-01,4901715,ORD00000019,49017,,South,25935,SKU004,98034,182
FS,2029272,77557,1646933,CUST001,2023-01-01,120555,46534,4018500,False,False,LINE000000020,2023-01-01,3877853,ORD00000020,0,,North,20092,SKU004,77557,141
MT,2781440,200474,1654038,CUST003,2023-01-01,209920,60142,5248000,False,False,LINE000000021,2023-01-01,5011840,ORD00000021,90213,,South,26240,SKU005,225533,164
