ForecastVersionKey,SnapshotDate,TargetMonth,Status,Approver,Eligibility,EvidenceClass
FV_BASE_202301,2022-12-01,2023-01-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202301,2022-12-01,2023-01-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202301,2022-12-01,2023-01-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202302,2023-01-01,2023-02-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202302,2023-01-01,2023-02-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202302,2023-01-01,2023-02-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202303,2023-02-01,2023-03-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202303,2023-02-01,2023-03-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202303,2023-02-01,2023-03-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202304,2023-03-01,2023-04-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202304,2023-03-01,2023-04-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202304,2023-03-01,2023-04-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202305,2023-04-01,2023-05-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202305,2023-04-01,2023-05-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202305,2023-04-01,2023-05-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202306,2023-05-01,2023-06-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202306,2023-05-01,2023-06-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202306,2023-05-01,2023-06-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202307,2023-06-01,2023-07-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202307,2023-06-01,2023-07-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202307,2023-06-01,2023-07-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202308,2023-07-01,2023-08-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202308,2023-07-01,2023-08-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202308,2023-07-01,2023-08-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202309,2023-08-01,2023-09-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202309,2023-08-01,2023-09-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202309,2023-08-01,2023-09-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202310,2023-09-01,2023-10-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202310,2023-09-01,2023-10-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202310,2023-09-01,2023-10-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202311,2023-10-01,2023-11-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202311,2023-10-01,2023-11-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202311,2023-10-01,2023-11-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202312,2023-11-01,2023-12-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202312,2023-11-01,2023-12-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202312,2023-11-01,2023-12-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202401,2023-12-01,2024-01-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202401,2023-12-01,2024-01-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202401,2023-12-01,2024-01-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202402,2024-01-01,2024-02-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202402,2024-01-01,2024-02-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202402,2024-01-01,2024-02-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202403,2024-02-01,2024-03-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202403,2024-02-01,2024-03-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202403,2024-02-01,2024-03-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202404,2024-03-01,2024-04-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202404,2024-03-01,2024-04-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202404,2024-03-01,2024-04-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202405,2024-04-01,2024-05-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202405,2024-04-01,2024-05-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202405,2024-04-01,2024-05-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
