MonthStart,FacilityKey,OpeningBalanceVND,DrawdownVND,RepaymentVND,ClosingBalanceVND,InterestRate,InterestExpenseVND,CovenantHeadroomVND,EvidenceClass
2023-01-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-01-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-02-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-02-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-03-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-03-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-04-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-04-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-05-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-05-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-06-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-06-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-07-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-07-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-08-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-08-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-09-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-09-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-10-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-10-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-11-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-11-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2023-12-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2023-12-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-01-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-01-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-02-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-02-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-03-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-03-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-04-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-04-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-05-01,RCF,2000000000.0,1000000000,50000000,2950000000.0,0.075,15468750.0,9050000000.0,SIMULATED
2024-05-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-06-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-06-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-07-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-07-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-08-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-08-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-09-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-09-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-10-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-10-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-11-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-11-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2024-12-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2024-12-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-01-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-01-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-02-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-02-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-03-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-03-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-04-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-04-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-05-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-05-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-06-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-06-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-07-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-07-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-08-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-08-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-09-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-09-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-10-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-10-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-11-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-11-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
2025-12-01,RCF,2000000000.0,0,50000000,1950000000.0,0.075,12343750.0,10050000000.0,SIMULATED
2025-12-01,TERM,5000000000.0,0,0,5000000000.0,0.085,35416666.67,7000000000.0,SIMULATED
