SnapshotDate,TargetMonth,SKUKey,ChannelKey,ScenarioKey,ForecastVersionKey,ForecastUnits,ForecastRevenueVND,ForecastCOGSVND,ForecastTradeSpendVND,ForecastOPEXVND,Status,Approved,ActualAvailabilityDate,Eligibility,EvidenceClass,WorkingCapitalDaysDelta
2022-12-01,2023-01-01,SKU001,CH01,BASE,FV_BASE_202301,6180,182767320.0,107992126.46,4607650.27,31052700.0,FROZEN,true,2023-02-01,true,ASSUMPTION,0
2022-12-01,2023-01-01,SKU001,CH01,UPSIDE,FV_UPSIDE_202301,6420,189865080.0,105915354.79,4607650.27,30431646.0,FROZEN,true,2023-02-01,true,ASSUMPTION,-6
2022-12-01,2023-01-01,SKU001,CH01,DOWNSIDE,FV_DOWNSIDE_202301,5760,170346240.0,113184055.61,4699803.28,33536916.0,FROZEN,true,2023-02-01,true,ASSUMPTION,14
2022-12-01,2023-01-01,SKU002,CH01,BASE,FV_BASE_202301,5150,176871600.0,94057658.53,4459016.39,30051000.0,FROZEN,true,2023-02-01,true,ASSUMPTION,0
2022-12-01,2023-01-01,SKU002,CH01,UPSIDE,FV_UPSIDE_202301,5350,183740400.0,92248857.41,4459016.39,29449980.0,FROZEN,true,2023-02-01,true,ASSUMPTION,-6
2022-12-01,2023-01-01,SKU002,CH01,DOWNSIDE,FV_DOWNSIDE_202301,4800,164851200.0,98579661.35,4548196.72,32455080.0,FROZEN,true,2023-02-01,true,ASSUMPTION,14
2022-12-01,2023-01-01,SKU003,CH01,BASE,FV_BASE_202301,4120,125775360.0,70601304.18,3170856.1,21369600.0,FROZEN,true,2023-02-01,true,ASSUMPTION,0
2022-12-01,2023-01-01,SKU003,CH01,UPSIDE,FV_UPSIDE_202301,4280,130659840.0,69243586.79,3170856.1,20942208.0,FROZEN,true,2023-02-01,true,ASSUMPTION,-6
2022-12-01,2023-01-01,SKU003,CH01,DOWNSIDE,FV_DOWNSIDE_202301,3840,117227520.0,73995597.65,3234273.22,23079168.0,FROZEN,true,2023-02-01,true,ASSUMPTION,14
2022-12-01,2023-01-01,SKU004,CH01,BASE,FV_BASE_202301,6180,165080160.0,107295403.06,4161748.63,28047600.0,FROZEN,true,2023-02-01,true,ASSUMPTION,0
2022-12-01,2023-01-01,SKU004,CH01,UPSIDE,FV_UPSIDE_202301,6420,171491040.0,105232029.93,4161748.63,27486648.0,FROZEN,true,2023-02-01,true,ASSUMPTION,-6
2022-12-01,2023-01-01,SKU004,CH01,DOWNSIDE,FV_DOWNSIDE_202301,5760,153861120.0,112453835.9,4244983.6,30291408.0,FROZEN,true,2023-02-01,true,ASSUMPTION,14
2022-12-01,2023-01-01,SKU005,CH01,BASE,FV_BASE_202301,5150,132653700.0,90138589.42,3344262.3,22538250.0,FROZEN,true,2023-02-01,true,ASSUMPTION,0
2022-12-01,2023-01-01,SKU005,CH01,UPSIDE,FV_UPSIDE_202301,5350,137805300.0,88405155.01,3344262.3,22087485.0,FROZEN,true,2023-02-01,true,ASSUMPTION,-6
2022-12-01,2023-01-01,SKU005,CH01,DOWNSIDE,FV_DOWNSIDE_202301,4800,123638400.0,94472175.45,3411147.55,24341310.0,FROZEN,true,2023-02-01,true,ASSUMPTION,14
2022-12-01,2023-01-01,SKU006,CH01,BASE,FV_BASE_202301,4120,117914400.0,73155956.63,2972677.6,20034000.0,FROZEN,true,2023-02-01,true,ASSUMPTION,0
2022-12-01,2023-01-01,SKU006,CH01,UPSIDE,FV_UPSIDE_202301,4280,122493600.0,71749111.31,2972677.6,19633320.0,FROZEN,true,2023-02-01,true,ASSUMPTION,-6
2022-12-01,2023-01-01,SKU006,CH01,DOWNSIDE,FV_DOWNSIDE_202301,3840,109900800.0,76673069.93,3032131.15,21636720.0,FROZEN,true,2023-02-01,true,ASSUMPTION,14
2022-12-01,2023-01-01,SKU007,CH01,BASE,FV_BASE_202301,6180,135601560.0,110169387.07,3418579.23,23039100.0,FROZEN,true,2023-02-01,true,ASSUMPTION,0
