Period,CompanyKey,CostCenterKey,Function,HeadcountOpen,Hires,Exits,HeadcountClose,AverageHeadcount,AverageSalaryVND,PayrollVND,BenefitsVND,BonusVND,NonPayrollOPEXVND,OPEXActualVND,OPEXBudgetVND,OPEXForecastVND,BudgetVarianceVND,ForecastVarianceVND,EvidenceClass,SourceSystem
2023-01,VN,CC-SALES,Sales,20,1,1,20,20.0,26000000,520000000.0,78000000.0,5200000.0,0.0,603200000.0,621296000.0,609232000.0,-18096000.0,-6032000.0,SIMULATED,synthetic_planning
2023-01,VN,CC-MKT,Marketing,14,1,1,14,14.0,32000000,448000000.0,67200000.0,4480000.0,0.0,519680000.0,535270400.0,524876800.0,-15590400.0,-5196800.0,SIMULATED,synthetic_planning
2023-01,VN,CC-FIN,Finance,8,1,1,8,8.0,29000000,232000000.0,34800000.0,2320000.0,0.0,269120000.0,277193600.0,271811200.0,-8073600.0,-2691200.0,SIMULATED,synthetic_planning
2023-01,VN,CC-OPS,Operations,28,1,1,28,28.0,26000000,728000000.0,109200000.0,7280000.0,0.0,844480000.0,869814400.0,852924800.0,-25334400.0,-8444800.0,SIMULATED,synthetic_planning
2023-01,VN,CC-IT,Technology,10,1,1,10,10.0,26000000,260000000.0,39000000.0,2600000.0,0.0,301600000.0,310648000.0,304616000.0,-9048000.0,-3016000.0,SIMULATED,synthetic_planning
2023-02,VN,CC-SALES,Sales,21,0,0,21,21.0,26000000,546000000.0,81900000.0,5460000.0,0.0,633360000.0,652360800.0,639693600.0,-19000800.0,-6333600.0,SIMULATED,synthetic_planning
2023-02,VN,CC-MKT,Marketing,15,0,0,15,15.0,32000000,480000000.0,72000000.0,4800000.0,0.0,556800000.0,573504000.0,562368000.0,-16704000.0,-5568000.0,SIMULATED,synthetic_planning
2023-02,VN,CC-FIN,Finance,9,0,0,9,9.0,29000000,261000000.0,39150000.0,2610000.0,0.0,302760000.0,311842800.0,305787600.0,-9082800.0,-3027600.0,SIMULATED,synthetic_planning
2023-02,VN,CC-OPS,Operations,29,0,0,29,29.0,26000000,754000000.0,113100000.0,7540000.0,0.0,874640000.0,900879200.0,883386400.0,-26239200.0,-8746400.0,SIMULATED,synthetic_planning
2023-02,VN,CC-IT,Technology,11,0,0,11,11.0,26000000,286000000.0,42900000.0,2860000.0,0.0,331760000.0,341712800.0,335077600.0,-9952800.0,-3317600.0,SIMULATED,synthetic_planning
2023-03,VN,CC-SALES,Sales,22,0,0,22,22.0,26000000,572000000.0,85800000.0,5720000.0,0.0,663520000.0,683425600.0,670155200.0,-19905600.0,-6635200.0,SIMULATED,synthetic_planning
2023-03,VN,CC-MKT,Marketing,16,0,0,16,16.0,32000000,512000000.0,76800000.0,5120000.0,0.0,593920000.0,611737600.0,599859200.0,-17817600.0,-5939200.0,SIMULATED,synthetic_planning
2023-03,VN,CC-FIN,Finance,10,0,0,10,10.0,29000000,290000000.0,43500000.0,2900000.0,0.0,336400000.0,346492000.0,339764000.0,-10092000.0,-3364000.0,SIMULATED,synthetic_planning
2023-03,VN,CC-OPS,Operations,30,0,0,30,30.0,26000000,780000000.0,117000000.0,7800000.0,0.0,904800000.0,931944000.0,913848000.0,-27144000.0,-9048000.0,SIMULATED,synthetic_planning
2023-03,VN,CC-IT,Technology,12,0,0,12,12.0,26000000,312000000.0,46800000.0,3120000.0,0.0,361920000.0,372777600.0,365539200.0,-10857600.0,-3619200.0,SIMULATED,synthetic_planning
2023-04,VN,CC-SALES,Sales,23,0,0,23,23.0,26000000,598000000.0,89700000.0,5980000.0,0.0,693680000.0,714490400.0,700616800.0,-20810400.0,-6936800.0,SIMULATED,synthetic_planning
2023-04,VN,CC-MKT,Marketing,17,0,0,17,17.0,32000000,544000000.0,81600000.0,5440000.0,0.0,631040000.0,649971200.0,637350400.0,-18931200.0,-6310400.0,SIMULATED,synthetic_planning
2023-04,VN,CC-FIN,Finance,11,0,0,11,11.0,29000000,319000000.0,47850000.0,3190000.0,0.0,370040000.0,381141200.0,373740400.0,-11101200.0,-3700400.0,SIMULATED,synthetic_planning
2023-04,VN,CC-OPS,Operations,31,0,0,31,31.0,26000000,806000000.0,120900000.0,8060000.0,0.0,934960000.0,963008800.0,944309600.0,-28048800.0,-9349600.0,SIMULATED,synthetic_planning
2023-04,VN,CC-IT,Technology,13,0,0,13,13.0,26000000,338000000.0,50700000.0,3380000.0,0.0,392080000.0,403842400.0,396000800.0,-11762400.0,-3920800.0,SIMULATED,synthetic_planning
2023-05,VN,CC-SALES,Sales,20,0,0,20,20.0,26000000,520000000.0,78000000.0,5200000.0,0.0,603200000.0,621296000.0,609232000.0,-18096000.0,-6032000.0,SIMULATED,synthetic_planning
2023-05,VN,CC-MKT,Marketing,14,0,0,14,14.0,32000000,448000000.0,67200000.0,4480000.0,0.0,519680000.0,535270400.0,524876800.0,-15590400.0,-5196800.0,SIMULATED,synthetic_planning
2023-05,VN,CC-FIN,Finance,8,0,0,8,8.0,29000000,232000000.0,34800000.0,2320000.0,0.0,269120000.0,277193600.0,271811200.0,-8073600.0,-2691200.0,SIMULATED,synthetic_planning
2023-05,VN,CC-OPS,Operations,28,0,0,28,28.0,26000000,728000000.0,109200000.0,7280000.0,0.0,844480000.0,869814400.0,852924800.0,-25334400.0,-8444800.0,SIMULATED,synthetic_planning
2023-05,VN,CC-IT,Technology,10,0,0,10,10.0,26000000,260000000.0,39000000.0,2600000.0,0.0,301600000.0,310648000.0,304616000.0,-9048000.0,-3016000.0,SIMULATED,synthetic_planning
2023-06,VN,CC-SALES,Sales,21,0,0,21,21.0,26000000,546000000.0,81900000.0,5460000.0,0.0,633360000.0,652360800.0,639693600.0,-19000800.0,-6333600.0,SIMULATED,synthetic_planning
2023-06,VN,CC-MKT,Marketing,15,0,0,15,15.0,32000000,480000000.0,72000000.0,4800000.0,0.0,556800000.0,573504000.0,562368000.0,-16704000.0,-5568000.0,SIMULATED,synthetic_planning
2023-06,VN,CC-FIN,Finance,9,0,0,9,9.0,29000000,261000000.0,39150000.0,2610000.0,0.0,302760000.0,311842800.0,305787600.0,-9082800.0,-3027600.0,SIMULATED,synthetic_planning
2023-06,VN,CC-OPS,Operations,29,0,0,29,29.0,26000000,754000000.0,113100000.0,7540000.0,0.0,874640000.0,900879200.0,883386400.0,-26239200.0,-8746400.0,SIMULATED,synthetic_planning
2023-06,VN,CC-IT,Technology,11,0,0,11,11.0,26000000,286000000.0,42900000.0,2860000.0,0.0,331760000.0,341712800.0,335077600.0,-9952800.0,-3317600.0,SIMULATED,synthetic_planning
2023-07,VN,CC-SALES,Sales,22,0,0,22,22.0,26000000,572000000.0,85800000.0,5720000.0,0.0,663520000.0,683425600.0,670155200.0,-19905600.0,-6635200.0,SIMULATED,synthetic_planning
2023-07,VN,CC-MKT,Marketing,16,0,0,16,16.0,32000000,512000000.0,76800000.0,5120000.0,0.0,593920000.0,611737600.0,599859200.0,-17817600.0,-5939200.0,SIMULATED,synthetic_planning
2023-07,VN,CC-FIN,Finance,10,0,0,10,10.0,29000000,290000000.0,43500000.0,2900000.0,0.0,336400000.0,346492000.0,339764000.0,-10092000.0,-3364000.0,SIMULATED,synthetic_planning
2023-07,VN,CC-OPS,Operations,30,0,0,30,30.0,26000000,780000000.0,117000000.0,7800000.0,0.0,904800000.0,931944000.0,913848000.0,-27144000.0,-9048000.0,SIMULATED,synthetic_planning
2023-07,VN,CC-IT,Technology,12,0,0,12,12.0,26000000,312000000.0,46800000.0,3120000.0,0.0,361920000.0,372777600.0,365539200.0,-10857600.0,-3619200.0,SIMULATED,synthetic_planning
2023-08,VN,CC-SALES,Sales,23,1,0,24,23.5,26000000,611000000.0,91650000.0,6110000.0,0.0,708760000.0,730022800.0,715847600.0,-21262800.0,-7087600.0,SIMULATED,synthetic_planning
2023-08,VN,CC-MKT,Marketing,17,1,0,18,17.5,32000000,560000000.0,84000000.0,5600000.0,0.0,649600000.0,669088000.0,656096000.0,-19488000.0,-6496000.0,SIMULATED,synthetic_planning
2023-08,VN,CC-FIN,Finance,11,1,0,12,11.5,29000000,333500000.0,50025000.0,3335000.0,0.0,386860000.0,398465800.0,390728600.0,-11605800.0,-3868600.0,SIMULATED,synthetic_planning
2023-08,VN,CC-OPS,Operations,31,1,0,32,31.5,26000000,819000000.0,122850000.0,8190000.0,0.0,950040000.0,978541200.0,959540400.0,-28501200.0,-9500400.0,SIMULATED,synthetic_planning
2023-08,VN,CC-IT,Technology,13,1,0,14,13.5,26000000,351000000.0,52650000.0,3510000.0,0.0,407160000.0,419374800.0,411231600.0,-12214800.0,-4071600.0,SIMULATED,synthetic_planning
2023-09,VN,CC-SALES,Sales,20,0,0,20,20.0,26000000,520000000.0,78000000.0,5200000.0,0.0,603200000.0,621296000.0,609232000.0,-18096000.0,-6032000.0,SIMULATED,synthetic_planning
2023-09,VN,CC-MKT,Marketing,14,0,0,14,14.0,32000000,448000000.0,67200000.0,4480000.0,0.0,519680000.0,535270400.0,524876800.0,-15590400.0,-5196800.0,SIMULATED,synthetic_planning
2023-09,VN,CC-FIN,Finance,8,0,0,8,8.0,29000000,232000000.0,34800000.0,2320000.0,0.0,269120000.0,277193600.0,271811200.0,-8073600.0,-2691200.0,SIMULATED,synthetic_planning
2023-09,VN,CC-OPS,Operations,28,0,0,28,28.0,26000000,728000000.0,109200000.0,7280000.0,0.0,844480000.0,869814400.0,852924800.0,-25334400.0,-8444800.0,SIMULATED,synthetic_planning
2023-09,VN,CC-IT,Technology,10,0,0,10,10.0,26000000,260000000.0,39000000.0,2600000.0,0.0,301600000.0,310648000.0,304616000.0,-9048000.0,-3016000.0,SIMULATED,synthetic_planning
2023-10,VN,CC-SALES,Sales,21,0,0,21,21.0,26000000,546000000.0,81900000.0,5460000.0,0.0,633360000.0,652360800.0,639693600.0,-19000800.0,-6333600.0,SIMULATED,synthetic_planning
2023-10,VN,CC-MKT,Marketing,15,0,0,15,15.0,32000000,480000000.0,72000000.0,4800000.0,0.0,556800000.0,573504000.0,562368000.0,-16704000.0,-5568000.0,SIMULATED,synthetic_planning
2023-10,VN,CC-FIN,Finance,9,0,0,9,9.0,29000000,261000000.0,39150000.0,2610000.0,0.0,302760000.0,311842800.0,305787600.0,-9082800.0,-3027600.0,SIMULATED,synthetic_planning
2023-10,VN,CC-OPS,Operations,29,0,0,29,29.0,26000000,754000000.0,113100000.0,7540000.0,0.0,874640000.0,900879200.0,883386400.0,-26239200.0,-8746400.0,SIMULATED,synthetic_planning
2023-10,VN,CC-IT,Technology,11,0,0,11,11.0,26000000,286000000.0,42900000.0,2860000.0,0.0,331760000.0,341712800.0,335077600.0,-9952800.0,-3317600.0,SIMULATED,synthetic_planning
2023-11,VN,CC-SALES,Sales,22,0,0,22,22.0,26000000,572000000.0,85800000.0,17160000.0,0.0,674960000.0,695208800.0,681709600.0,-20248800.0,-6749600.0,SIMULATED,synthetic_planning
2023-11,VN,CC-MKT,Marketing,16,0,0,16,16.0,32000000,512000000.0,76800000.0,15360000.0,0.0,604160000.0,622284800.0,610201600.0,-18124800.0,-6041600.0,SIMULATED,synthetic_planning
2023-11,VN,CC-FIN,Finance,10,0,0,10,10.0,29000000,290000000.0,43500000.0,8700000.0,0.0,342200000.0,352466000.0,345622000.0,-10266000.0,-3422000.0,SIMULATED,synthetic_planning
2023-11,VN,CC-OPS,Operations,30,0,0,30,30.0,26000000,780000000.0,117000000.0,23400000.0,0.0,920400000.0,948012000.0,929604000.0,-27612000.0,-9204000.0,SIMULATED,synthetic_planning
2023-11,VN,CC-IT,Technology,12,0,0,12,12.0,26000000,312000000.0,46800000.0,9360000.0,0.0,368160000.0,379204800.0,371841600.0,-11044800.0,-3681600.0,SIMULATED,synthetic_planning
2023-12,VN,CC-SALES,Sales,23,0,1,22,22.5,26000000,585000000.0,87750000.0,17550000.0,0.0,690300000.0,711009000.0,697203000.0,-20709000.0,-6903000.0,SIMULATED,synthetic_planning
2023-12,VN,CC-MKT,Marketing,17,0,1,16,16.5,32000000,528000000.0,79200000.0,15840000.0,0.0,623040000.0,641731200.0,629270400.0,-18691200.0,-6230400.0,SIMULATED,synthetic_planning
2023-12,VN,CC-FIN,Finance,11,0,1,10,10.5,29000000,304500000.0,45675000.0,9135000.0,0.0,359310000.0,370089300.0,362903100.0,-10779300.0,-3593100.0,SIMULATED,synthetic_planning
2023-12,VN,CC-OPS,Operations,31,0,1,30,30.5,26000000,793000000.0,118950000.0,23790000.0,0.0,935740000.0,963812200.0,945097400.0,-28072200.0,-9357400.0,SIMULATED,synthetic_planning
2023-12,VN,CC-IT,Technology,13,0,1,12,12.5,26000000,325000000.0,48750000.0,9750000.0,0.0,383500000.0,395005000.0,387335000.0,-11505000.0,-3835000.0,SIMULATED,synthetic_planning
2024-01,VN,CC-SALES,Sales,20,0,0,20,20.0,26000000,520000000.0,78000000.0,5200000.0,0.0,603200000.0,621296000.0,609232000.0,-18096000.0,-6032000.0,SIMULATED,synthetic_planning
2024-01,VN,CC-MKT,Marketing,14,0,0,14,14.0,32000000,448000000.0,67200000.0,4480000.0,0.0,519680000.0,535270400.0,524876800.0,-15590400.0,-5196800.0,SIMULATED,synthetic_planning
2024-01,VN,CC-FIN,Finance,8,0,0,8,8.0,29000000,232000000.0,34800000.0,2320000.0,0.0,269120000.0,277193600.0,271811200.0,-8073600.0,-2691200.0,SIMULATED,synthetic_planning
2024-01,VN,CC-OPS,Operations,28,0,0,28,28.0,26000000,728000000.0,109200000.0,7280000.0,0.0,844480000.0,869814400.0,852924800.0,-25334400.0,-8444800.0,SIMULATED,synthetic_planning
2024-01,VN,CC-IT,Technology,10,0,0,10,10.0,26000000,260000000.0,39000000.0,2600000.0,0.0,301600000.0,310648000.0,304616000.0,-9048000.0,-3016000.0,SIMULATED,synthetic_planning
2024-02,VN,CC-SALES,Sales,21,0,0,21,21.0,26000000,546000000.0,81900000.0,5460000.0,0.0,633360000.0,652360800.0,639693600.0,-19000800.0,-6333600.0,SIMULATED,synthetic_planning
2024-02,VN,CC-MKT,Marketing,15,0,0,15,15.0,32000000,480000000.0,72000000.0,4800000.0,0.0,556800000.0,573504000.0,562368000.0,-16704000.0,-5568000.0,SIMULATED,synthetic_planning
2024-02,VN,CC-FIN,Finance,9,0,0,9,9.0,29000000,261000000.0,39150000.0,2610000.0,0.0,302760000.0,311842800.0,305787600.0,-9082800.0,-3027600.0,SIMULATED,synthetic_planning
2024-02,VN,CC-OPS,Operations,29,0,0,29,29.0,26000000,754000000.0,113100000.0,7540000.0,0.0,874640000.0,900879200.0,883386400.0,-26239200.0,-8746400.0,SIMULATED,synthetic_planning
2024-02,VN,CC-IT,Technology,11,0,0,11,11.0,26000000,286000000.0,42900000.0,2860000.0,0.0,331760000.0,341712800.0,335077600.0,-9952800.0,-3317600.0,SIMULATED,synthetic_planning
2024-03,VN,CC-SALES,Sales,22,1,0,23,22.5,26000000,585000000.0,87750000.0,5850000.0,0.0,678600000.0,698958000.0,685386000.0,-20358000.0,-6786000.0,SIMULATED,synthetic_planning
2024-03,VN,CC-MKT,Marketing,16,1,0,17,16.5,32000000,528000000.0,79200000.0,5280000.0,0.0,612480000.0,630854400.0,618604800.0,-18374400.0,-6124800.0,SIMULATED,synthetic_planning
2024-03,VN,CC-FIN,Finance,10,1,0,11,10.5,29000000,304500000.0,45675000.0,3045000.0,0.0,353220000.0,363816600.0,356752200.0,-10596600.0,-3532200.0,SIMULATED,synthetic_planning
2024-03,VN,CC-OPS,Operations,30,1,0,31,30.5,26000000,793000000.0,118950000.0,7930000.0,0.0,919880000.0,947476400.0,929078800.0,-27596400.0,-9198800.0,SIMULATED,synthetic_planning
2024-03,VN,CC-IT,Technology,12,1,0,13,12.5,26000000,325000000.0,48750000.0,3250000.0,0.0,377000000.0,388310000.0,380770000.0,-11310000.0,-3770000.0,SIMULATED,synthetic_planning
2024-04,VN,CC-SALES,Sales,23,0,0,23,23.0,26000000,598000000.0,89700000.0,5980000.0,0.0,693680000.0,714490400.0,700616800.0,-20810400.0,-6936800.0,SIMULATED,synthetic_planning
2024-04,VN,CC-MKT,Marketing,17,0,0,17,17.0,32000000,544000000.0,81600000.0,5440000.0,0.0,631040000.0,649971200.0,637350400.0,-18931200.0,-6310400.0,SIMULATED,synthetic_planning
2024-04,VN,CC-FIN,Finance,11,0,0,11,11.0,29000000,319000000.0,47850000.0,3190000.0,0.0,370040000.0,381141200.0,373740400.0,-11101200.0,-3700400.0,SIMULATED,synthetic_planning
2024-04,VN,CC-OPS,Operations,31,0,0,31,31.0,26000000,806000000.0,120900000.0,8060000.0,0.0,934960000.0,963008800.0,944309600.0,-28048800.0,-9349600.0,SIMULATED,synthetic_planning
2024-04,VN,CC-IT,Technology,13,0,0,13,13.0,26000000,338000000.0,50700000.0,3380000.0,0.0,392080000.0,403842400.0,396000800.0,-11762400.0,-3920800.0,SIMULATED,synthetic_planning
2024-05,VN,CC-SALES,Sales,20,0,0,20,20.0,26000000,520000000.0,78000000.0,5200000.0,0.0,603200000.0,621296000.0,609232000.0,-18096000.0,-6032000.0,SIMULATED,synthetic_planning
2024-05,VN,CC-MKT,Marketing,14,0,0,14,14.0,32000000,448000000.0,67200000.0,4480000.0,0.0,519680000.0,535270400.0,524876800.0,-15590400.0,-5196800.0,SIMULATED,synthetic_planning
2024-05,VN,CC-FIN,Finance,8,0,0,8,8.0,29000000,232000000.0,34800000.0,2320000.0,0.0,269120000.0,277193600.0,271811200.0,-8073600.0,-2691200.0,SIMULATED,synthetic_planning
